dataset,best_dist_metric_ari,best_dist_metric_ari_eval,best_dist_metric_dbs,best_dist_metric_dbs_eval,worst_dist_metric_ari,worst_dist_metric_ari_eval,worst_dist_metric_dbs,worst_dist_metric_dbs_eval
a1_raw,chebyshev,0.1995533288166498,euclidean,1.5631141107350428,standardized_euclidean,-0.0015948984526396408,mahalanobis,3.1510339383621155
a1_va3,cosine,0.2373391170104235,standardized_euclidean,1.4772899906079808,standardized_euclidean,-0.00012106064946864454,canberra,4.13275412893231
a2_raw,canberra,0.3595921700546287,standardized_euclidean,0.9355260322346742,standardized_euclidean,-0.0014089862021759599,mahalanobis,1.948717240107613
a2_va3,cosine,0.18207703245338616,standardized_euclidean,1.4625451492182744,standardized_euclidean,-0.0017974333258759794,canberra,3.355306120912689
a3_raw,euclidean,0.28708925352015063,standardized_euclidean,1.067067546345747,standardized_euclidean,-0.0003783795238898257,mahalanobis,2.7308026062936865
a3_va3,cosine,0.16813164342351342,adjusted-cosine,1.781766140758664,standardized_euclidean,-7.35863255856433e-05,canberra,3.0258680837993905
accel-10_noheader,euclidean,0.47608632419545016,manhattan,0.9102401478257564,standardized_euclidean,-0.0003185186592490934,standardized_euclidean,13.338230044492613
accel-11_noheader,mahalanobis,0.33355962191060756,canberra,0.9369066198263666,standardized_euclidean,0.0,pearson,2.5279991489461033
accel-12_noheader,mahalanobis,0.2989761338416459,euclidean,0.9995189319261378,standardized_euclidean,0.0,pearson,2.448396303338033
accel-13_noheader,mahalanobis,0.34707026850976214,euclidean,0.9307706086198061,standardized_euclidean,0.0,adjusted-cosine,2.294336542838427
accel-14_noheader,mahalanobis,0.2958633805521599,euclidean,0.9226041122495598,standardized_euclidean,-0.001256127939681211,adjusted-cosine,2.518414088054822
accel-15_noheader,mahalanobis,0.26465267023404204,mahalanobis,1.0260891596225101,standardized_euclidean,0.0,pearson,2.8876336085344123
accel-1_noheader,euclidean,0.4957968530625467,euclidean,0.9626301149702249,standardized_euclidean,0.0,pearson,3.2732229219131534
accel-2_noheader,mahalanobis,0.29446831254374745,canberra,1.0007779968428432,standardized_euclidean,0.0,adjusted-cosine,4.513423274613142
accel-3_noheader,manhattan,0.5002849823666362,euclidean,1.0109215833173537,standardized_euclidean,0.0,pearson,1.765252136768652
accel-4_noheader,chebyshev,0.37222164942440555,mahalanobis,1.0264015554422117,standardized_euclidean,0.0,adjusted-cosine,2.487131249063856
accel-5_noheader,euclidean,0.5319816977366926,euclidean,0.8683443163170151,standardized_euclidean,0.0,adjusted-cosine,1.819038528703347
accel-6_noheader,mahalanobis,0.2734894640048134,mahalanobis,0.8469486603127077,standardized_euclidean,-6.643471323981083e-05,standardized_euclidean,11.752854951772646
accel-7_noheader,manhattan,0.6230653239965414,mahalanobis,0.986062585919564,standardized_euclidean,0.0,cosine,2.12484793103221
accel-8_noheader,mahalanobis,0.28187909076372614,euclidean,0.7596288794978845,standardized_euclidean,0.0,adjusted-cosine,3.3620247996924606
accel-9_noheader,mahalanobis,0.6112440937937793,euclidean,0.893043254547575,standardized_euclidean,0.0,adjusted-cosine,2.299163923068128
adult_data_noheader_one_hot,euclidean,0.1773415762647279,chebyshev,1.0245560844290968,mahalanobis,-0.010181441515169039,mahalanobis,3.8075082500957502
allUsers,euclidean,0.21465365481954327,standardized_euclidean,0.6850007158546801,standardized_euclidean,1.0958393388835855e-06,chebyshev,4.484768581295109
analcatdata_apnea1_one_hot,adjusted-cosine,0.015112955408304037,chebyshev,0.9978923940072209,chebyshev,-0.003553363657306104,mahalanobis,3.776529471697762
analcatdata_apnea2_one_hot,euclidean,0.05269165399228419,chebyshev,0.9978923940072209,chebyshev,-0.0035210737245422548,mahalanobis,3.776529471697762
analcatdata_apnea3_one_hot,manhattan,0.03695873150008641,chebyshev,0.997775166045957,chebyshev,-0.0037810623369795983,mahalanobis,3.7869352217570085
analcatdata_boxing1_one_hot,manhattan,0.09220767084518136,chebyshev,1.0467794359408715,euclidean,-0.031746031746031744,mahalanobis,5.580989798609809
analcatdata_boxing2_one_hot,manhattan,0.011470284053208124,chebyshev,1.049338102520191,standardized_euclidean,0.0,mahalanobis,3.7371621264013344
analcatdata_challenger,mahalanobis,0.08293603075245093,canberra,0.40047904683644087,canberra,-0.03916957402946962,mahalanobis,1.0826564238502157
analcatdata_chlamydia_one_hot,euclidean,0.013465549416370888,chebyshev,0.9899447423839529,chebyshev,-0.014945066098297429,mahalanobis,3.0423744087864937
analcatdata_creditscore_one_hot,standardized_euclidean,0.0,cosine,0.5110124074470102,mahalanobis,-0.014270194873995789,chebyshev,0.6857004097136942
analcatdata_germangss_one_hot,mahalanobis,0.0007531963771254261,chebyshev,0.9974965931217313,chebyshev,-0.003533190578158458,mahalanobis,4.1527230319601225
analcatdata_impeach_one_hot,pearson,0.09377345560160559,chebyshev,0.98572706634299,chebyshev,-0.007726325420627255,mahalanobis,4.8167980680898115
analcatdata_lawsuit_one_hot,euclidean,0.07279403032591682,euclidean,0.43608664812625114,standardized_euclidean,0.0552233848374189,standardized_euclidean,0.5305988098167944
analcatdata_michiganacc_one_hot,mahalanobis,0.10183813845841627,chebyshev,1.0695845366388328,chebyshev,-0.00840311615557436,mahalanobis,2.547068717625683
analcatdata_neavote_one_hot,canberra,0.0,chebyshev,1.0317095334387205,mahalanobis,-0.0399115970100966,mahalanobis,1.8974090081733956
analcatdata_seropositive_one_hot,manhattan,0.28583305817712773,mahalanobis,0.8786499431881885,chebyshev,-0.012903440363158682,canberra,0.9689325062345779
analcatdata_vineyard_one_hot,adjusted-cosine,0.002098571299941109,chebyshev,0.9805778201585567,cosine,-0.006874943149660414,mahalanobis,5.36893589904426
analcatdata_wildcat_noheader_one_hot,mahalanobis,0.051564428978191836,manhattan,0.5092029114580937,standardized_euclidean,0.0,canberra,1.210449739616217
