Concentration Coeff (Mean),Concentration Coeff (SD),Shannon's Entropy (Mean),Shannon's Entropy (SD),Attr-to-Inst Ratio,Canonical Corr (Mean),Canonical Corr (SD),Correlation (Mean),Correlation (SD),Covariance (Mean),Covariance (SD),Eigenvalues (Mean),Eigenvalues (SD),Inst-to-Attr Ratio,IQ Range (Mean),IQ Range (SD),Kurtosis (Mean),Kurtosis (SD),Median Abs Dev (Mean),Median Abs Dev (SD),Mean (Mean),Mean (SD),Median (Mean),Median (SD),Num Attr,Num Binary Attr,Num Correlated Attr,Num Instances,Num Outliers,SD (Mean),SD (SD),Skewness (Mean),Skewness (SD),Sparsity (Mean),Sparsity (SD),Ave Num Feat per PCA Dim,Ave Num PCA Dim per Point,PCA-to-Orig Dim Ratio,Trimmed Mean (Mean),Trimmed Mean (SD),Variance (Mean),Variance (SD),1-Itemset Min,1-Itemset Q1,1-Itemset Q2,1-Itemset Q3,1-Itemset Max,2-Itemset Min,2-Itemset Q1,2-Itemset Q2,2-Itemset Q3,2-Itemset Max,best_dist_metric_ari,best_dist_metric_dbs
0.083137328,0.074754101,3.584953595,2.68E-06,0.010303377,0.433018272,0.253195345,0.242233413,0.228001313,0.006188372,0.007139779,0.026026295,0.041749369,97.05555556,0.159931246,0.064418256,2.513631404,1.945351309,0.111812606,0.044872062,0.533908926,0.123818711,0.546033515,0.149179783,18,0,0.117647059,1747,18,0.157099445,0.03775234,-0.255919674,0.95919439,2.82E-06,3.26E-06,0.010303377,0.004579279,0.444444444,0.541029143,0.141731962,0.026026295,0.011920744,0.082427018,0.082999428,0.083571837,0.083571837,0.084144247,0.010303377,0.14768174,0.155695478,0.161419576,0.167716085,manhattan,euclidean
0.037992481,0.036259963,3.58495574,1.40E-06,0.018359151,0.217562344,0.399360549,0.125801209,0.172071416,0.00076066,0.001704332,0.006522892,0.011930534,54.46875,0.042396771,0.039177228,33.27298202,52.94821923,0.024941238,0.017022846,0.385130668,0.211590218,0.375140008,0.226391564,32,0,0.054435484,1743,32,0.075020813,0.030391336,1.312285534,2.743450966,3.58E-06,4.97E-06,0.018359151,0.010327022,0.5625,0.377809758,0.22247683,0.006522892,0.005572955,0.082616179,0.083189902,0.083189902,0.083763626,0.083763626,0.027538726,0.148020654,0.153757889,0.1589214,0.167527252,euclidean,euclidean
0.086459473,0.064691993,3.321917265,4.57E-16,0.014240506,0.477468992,0.210689819,0.220613879,0.217854439,0.005883169,0.007251318,0.027135375,0.042013039,70.22222222,0.180278692,0.102051878,2.149466859,3.067081629,0.132494913,0.076581514,0.509928785,0.113737612,0.5161684,0.133309587,18,0,0.08496732,1264,16,0.159904541,0.04071886,-0.064123059,1.015053847,1.79E-06,2.48E-06,0.014240506,0.007120253,0.5,0.512890249,0.126232645,0.027135375,0.014205708,0.099683544,0.099683544,0.099683544,0.100474684,0.100474684,0.011075949,0.172468354,0.183544304,0.193037975,0.200949367,euclidean,chebyshev
0.046615756,0.036636611,3.321928095,0,0.025396825,-0.014966907,0.440450694,0.12580987,0.176908973,0.000886808,0.001643412,0.006913705,0.011259454,39.375,0.046716613,0.037670142,14.74926857,8.478498337,0.027699046,0.016243223,0.390226988,0.191657516,0.379684676,0.209538937,32,0,0.048387097,1260,32,0.080094281,0.022686902,0.693295848,1.511454016,3.80E-06,5.87E-06,0.025396825,0.014285714,0.5625,0.38247481,0.205237904,0.006913705,0.003918943,0.1,0.1,0.1,0.1,0.1,0.034920635,0.173015873,0.182539683,0.19047619,0.2,euclidean,manhattan
0.101426939,0.026079174,3.584957632,2.43E-06,0.009814613,0.316617433,0.442043985,0.272287018,0.228003579,0.008252927,0.007934241,0.03280933,0.050535917,101.8888889,0.182323431,0.091331561,4.554712212,7.936434179,0.120086859,0.056294526,0.521932333,0.180439543,0.544374022,0.199596783,18,0,0.130718954,1834,15,0.177219326,0.038537625,-0.068993935,1.885552911,3.30E-06,4.74E-06,0.009814613,0.00436205,0.444444444,0.535341079,0.197395102,0.03280933,0.014218,0.082333697,0.083424209,0.083424209,0.083424209,0.083969466,0.002181025,0.147219193,0.157579062,0.163576881,0.167393675,euclidean,euclidean
0.058558076,0.047757183,3.584951993,8.64E-06,0.017486339,0.344182325,0.204267115,0.127562214,0.182075887,0.000729299,0.001443265,0.005523821,0.009843827,57.1875,0.028465596,0.025396075,27.16683044,18.49632388,0.015587465,0.009952619,0.389516666,0.206562721,0.379903001,0.22225268,32,0,0.052419355,1830,32,0.070512867,0.02386536,0.944961329,2.052251866,1.67E-05,2.50E-05,0.017486339,0.008743169,0.5,0.382016604,0.218688346,0.005523821,0.003654968,0.081420765,0.083060109,0.083606557,0.083606557,0.084153005,0.02295082,0.147540984,0.154644809,0.160655738,0.167759563,euclidean,euclidean
0.021991425,0.004099054,5.492079289,0.398475899,1.85E-05,0.324518291,0.410437365,0.249581456,0.264593449,0.000574873,0.000667816,0.002230924,0.001518118,54166.33333,0.055550554,0.044334311,5.00674065,6.800952404,0.033489833,0.023496299,0.513673694,0.155039491,0.505959629,0.16410844,3,0,0.333333333,162499,3,0.046911508,0.006734311,0.412026967,0.505151256,0.001948931,0.000140934,1.85E-05,1.85E-05,1,0.51016051,0.158542451,0.002230924,0.000649066,0.00984,0.016812308,0.018726154,0.021649231,0.063981538,0.020707692,0.034256923,0.038043077,0.045132308,0.089076923,euclidean,manhattan
0.042228627,0.014580808,5.540697903,0.123622562,2.37E-05,0.322786771,0.401165154,0.270842658,0.155369085,0.000223099,0.000184586,0.001056102,0.001367584,42266.33333,0.042281924,0.037660888,64.55360636,78.05060042,0.031499125,0.030600292,0.551734332,0.057295728,0.55046342,0.060378049,3,0,0,126799,3,0.028584096,0.018936117,-1.150812675,2.19836636,0.001461195,8.65E-05,2.37E-05,2.37E-05,1,0.55186348,0.058820965,0.001056102,0.001285621,0.010268139,0.018734227,0.02011041,0.022216088,0.050646688,0.022152997,0.037233833,0.039810726,0.043880126,0.075922713,mahalanobis,euclidean
0.014233355,0.001763312,5.36518895,0.279547978,2.87E-05,0.293873901,0.330733386,0.093065799,0.016257061,7.07E-05,2.52E-05,0.000838686,0.000480035,34816.33333,0.022223725,0.017077749,27.28190025,28.04905848,0.016442787,0.013576892,0.594006117,0.128012388,0.594176589,0.126794235,3,0,0,104449,3,0.028067116,0.008739827,-0.786253581,1.802865146,0.001525669,0.000300995,2.87E-05,2.87E-05,1,0.593701718,0.127584838,0.000838686,0.000462804,0.013145045,0.01979416,0.021550981,0.025246529,0.053662039,0.026194351,0.039760651,0.043666826,0.05147439,0.087687889,mahalanobis,euclidean
0.01871381,0.004078563,5.556635266,0.039368895,2.62E-05,0.250307987,0.339736307,0.245661803,0.267576484,0.002035847,0.002772236,0.008011411,0.007957938,38233.33333,0.117303075,0.09612831,1.733327588,3.404018716,0.080126023,0.064874951,0.418478435,0.105614637,0.415546588,0.098485469,3,0,0.333333333,114700,3,0.085260598,0.033362578,0.076590639,0.54416442,0.001739807,0.000248462,2.62E-05,2.62E-05,1,0.419013691,0.104114086,0.008011411,0.005960215,0.010906618,0.019642375,0.020732164,0.021978884,0.041455611,0.025623142,0.03855241,0.040688399,0.04286144,0.065675103,mahalanobis,euclidean
