Na2O,MgO,Al2O3,SiO2,K2O,CaO,TiO2,Fe2O3,MnO,CuO,ZnO,PbO2,Rb2O,SrO,Y2O3,ZrO2,P2O5,Part
0.62,0.38,19.61,71.99,4.84,0.31,0.07,1.18,630,10,70,10,430,0,40,80,90,Body
0.57,0.47,21.19,70.09,4.98,0.49,0.09,1.12,380,20,80,40,430,-10,40,100,110,Body
0.49,0.19,18.6,74.7,3.47,0.43,0.06,1.07,420,20,50,50,380,40,40,80,200,Body
0.89,0.3,18.01,74.19,4.01,0.27,0.09,1.23,460,20,70,60,380,10,40,70,210,Body
0.03,0.36,18.41,73.99,4.33,0.65,0.05,1.19,380,40,90,40,360,10,30,80,150,Body
0.62,0.18,18.82,73.79,4.28,0.3,0.04,0.96,350,20,80,10,390,10,40,80,130,Body
0.45,0.33,17.65,74.99,3.53,0.7,0.07,1.28,650,20,90,90,410,30,30,90,140,Body
0.59,0.45,21.42,71.46,3.47,0.35,0.05,1.2,500,10,70,50,380,70,40,80,440,Body
0.42,0.53,23.12,67.41,3.81,0.74,0.16,2.81,340,40,120,30,370,20,30,150,180,Body
0.56,0.49,19.86,72,4.51,0.25,0.23,1.1,330,20,70,20,350,10,40,130,150,Body
0.35,0.23,19.53,72.87,4.62,0.28,0.07,1.05,320,70,40,20,450,10,40,120,140,Body
0.43,0.7,19.35,71.21,4.77,1.26,0.04,1.23,420,0,90,30,430,10,40,80,100,Body
0.76,0.44,19.45,72.52,3.94,0.58,0.07,1.24,420,50,100,10,390,30,30,80,150,Body
0.03,0.26,18.34,73.26,5.11,0.14,0.12,1.74,480,0,100,90,370,20,50,200,80,Body
0.71,0.31,24.47,65.2,6.16,0.17,0.09,1.89,430,40,110,20,360,10,50,200,60,Body
0.25,0.24,23.07,67.37,5.8,0.18,0.14,1.94,280,0,70,60,370,10,50,200,90,Body
0.43,0.47,20.67,70.07,5.27,0.13,0.2,1.77,300,10,80,40,350,40,60,180,110,Body
0.28,0.22,20.89,70.77,4.79,0.15,0.13,1.77,230,60,90,60,290,0,60,190,60,Body
0.25,0.49,20.79,69.92,5.37,0.18,0.15,1.86,470,30,120,80,370,10,50,180,60,Body
0.16,0.34,23.77,66.31,6.05,0.16,0.16,2.05,280,40,80,80,400,20,50,230,70,Body
0.03,0.36,25.13,64.58,6.56,0.17,0.07,2.11,400,20,90,40,380,10,70,170,110,Body
0.24,0.55,22.81,66.31,5.59,0.2,0.18,3.11,350,20,110,70,330,30,50,220,90,Body
0.29,0.33,23.49,67.94,4.46,0.17,0.16,2.15,310,0,80,20,230,20,30,210,170,Body
0.45,0.46,25.8,64.42,4.57,0.15,0.19,2.97,240,60,110,40,270,0,50,260,120,Body
0.29,0.23,22.26,68.93,4.19,0.12,0.29,2.68,250,50,120,60,270,20,40,310,70,Body
0.41,0.25,19.48,71.97,5.03,0.28,0.04,1.53,490,80,110,60,320,10,60,160,200,Body
0.34,0.47,22.48,67.8,5.45,0.49,0.14,1.83,310,10,120,40,320,10,60,170,120,Body
0.71,0.25,19.49,70.85,5.43,0.27,0.14,1.88,370,30,110,70,330,30,60,190,70,Body
0.3,0.37,25,65.09,6.17,0.18,0.07,1.83,360,30,80,100,370,10,60,160,110,Body
0.5,0.32,25.15,65.37,5.34,0.12,0.1,2.1,400,30,90,10,380,0,70,190,50,Body
0.31,0.41,22.77,67.75,4.5,0.18,0.24,2.85,350,10,100,0,310,30,60,250,90,Body
0.2,0.49,24.07,66.18,4.66,0.2,0.21,2.98,410,20,120,90,330,20,60,280,120,Body
0.26,0.32,26.48,63.88,5.62,0.13,0.15,2.17,370,40,70,70,390,0,50,160,70,Body
0.86,0.19,21.54,68.95,5.59,0.16,0.08,1.63,620,30,120,70,390,20,80,210,100,Body
0.17,0.53,21.4,71.02,2.73,0.14,0.28,2.73,180,30,80,10,290,10,40,300,170,Body
0.32,0.22,22.34,68.86,5.28,0.13,0.12,1.73,300,0,100,60,370,0,70,160,70,Body
0.39,0.35,23.2,66.4,6.25,0.21,0.1,2.09,470,40,110,80,390,30,60,190,50,Body
0.18,0.18,23.25,67.86,5.37,0.14,0.11,1.92,390,20,120,60,340,0,60,170,50,Body
0.42,0.18,22.09,69.03,5.17,0.17,0.07,1.86,510,50,120,30,310,10,70,170,80,Body
0.29,0.21,24.35,65.43,6.07,0.13,0.1,2.41,420,20,100,40,380,10,50,160,70,Body
0.55,0.27,21.58,69.91,4.61,0.13,0.1,1.86,330,40,110,10,310,0,50,160,50,Body
0.64,0.19,21.31,69.34,4.9,0.22,0.14,2.27,420,40,120,60,320,20,50,160,70,Body
0.14,0.27,24.01,66.7,5.47,0.23,0.09,2.08,420,30,70,70,320,30,60,390,60,Body
0.31,0.28,23.23,67.08,5.63,0.16,0.13,2.18,360,20,90,30,320,10,60,160,60,Body
0.97,0.07,11.42,74.41,5.7,5.34,0.05,1.04,550,20,60,20,310,150,20,50,390,Glaze
1.46,0.47,12.96,68.79,4.85,8.88,0.11,1.49,950,30,40,0,350,250,30,60,840,Glaze
1.05,0.23,13.64,69.9,4.46,8.43,0.07,1.22,590,20,90,40,370,90,40,80,460,Glaze
0.14,0.41,12.42,67.24,4.29,12.86,0.06,1.58,960,80,70,40,330,160,40,70,1000,Glaze
0.37,1.03,13.15,68.98,5.58,7.91,0.08,1.9,800,60,120,0,320,80,40,80,1080,Glaze
1.09,0.5,13.47,68.51,5.97,7.23,0.19,2.05,870,20,50,40,360,240,20,100,870,Glaze
1.16,0.58,13.83,71.37,5.14,5.99,0.08,0.85,1050,60,90,20,380,240,40,100,670,Glaze
1.01,0.1,11.84,71.13,3.84,9.4,0.1,1.58,520,40,50,40,180,160,30,70,1610,Glaze
1.88,0.58,12.95,67.58,2.98,10.28,0.12,2.61,590,80,90,30,230,190,20,90,690,Glaze
0.73,0.25,13,71.01,5.78,6.43,0.1,1.71,1090,40,70,20,330,180,30,80,990,Glaze
0.68,0.27,12.74,71.93,6.16,6.1,0.09,1.04,810,20,20,0,360,200,30,90,370,Glaze
1.29,0.32,12.83,68.81,5.8,7.92,0.07,1.97,680,30,40,20,340,210,40,70,540,Glaze
1.27,0.54,13.01,73.11,5.46,4.12,0.13,1.36,660,10,40,20,400,160,30,80,360,Glaze
