Bidder_Tendency,Bidding_Ratio,Successive_Outbidding,Last_Bidding,Auction_Bids,Starting_Price_Average,Early_Bidding,Winning_Ratio,Auction_Duration,Class
0.2,0.4,0,2.77778E-05,0,0.993592814,2.77778E-05,0.666666667,5,0
0.024390244,0.2,0,0.013122685,0,0.993592814,0.013122685,0.944444444,5,0
0.142857143,0.2,0,0.003041667,0,0.993592814,0.003041667,1,5,0
0.1,0.2,0,0.097476852,0,0.993592814,0.097476852,1,5,0
0.051282051,0.222222222,0,0.001317791,0,0,0.001241733,0.5,7,0
0.038461538,0.111111111,0,0.016843585,0,0,0.016843585,0.8,7,0
0.4,0.222222222,0,0.006780754,0,0,0.00677414,0.75,7,0
0.137931034,0.444444444,1,0.768043982,0,0,0.016311177,1,7,1
0.12195122,0.185185185,1,0.035021495,0.333333333,0.993528095,0.023963294,0.944444444,7,1
0.155172414,0.346153846,0.5,0.570993717,0.307692308,0.993592814,0.413788029,0.611111111,7,1
0.6,0.5625,1,0.457630622,0,0,0.457473545,0.6,7,1
0.5,0.105263158,0,0.02869213,0.052631579,0,0.028654101,0.666666667,7,0
0.017241379,0.052631579,0,0.057655423,0.052631579,0,0.057655423,0,7,0
0.041322314,0.208333333,1,0.286044974,0.25,0,0.286025132,0.818181818,7,1
0.142857143,0.041666667,0,0.387347884,0.25,0,0.387347884,0,7,0
0.007246377,0.041666667,0,0.547427249,0.25,0,0.547427249,0,7,0
0.01,0.041666667,0,0.589285714,0.25,0,0.589285714,0,7,0
0.025641026,0.041666667,0,0.912638889,0.25,0,0.912638889,0,7,0
0.172413793,0.185185185,1,0.133783069,0.333333333,0.993528095,0.048748347,0.933333333,7,1
0.010309278,0.037037037,0,0.13099537,0.333333333,0.993528095,0.13099537,0,7,0
0.25,0.111111111,0,0.994641204,0,0,0.646851852,1,1,0
0.023255814,0.055555556,0,0.917951389,0,0,0.917951389,0,1,0
0.041666667,0.142857143,0,0.107607474,0,0,0.107607474,0.842105263,7,0
0.111111111,0.714285714,0.5,0.055500992,0,0,0.053763228,0.818181818,7,1
0.25,0.052631579,0,0.333923611,0.052631579,0,0.333923611,0,7,0
0.052631579,0.157894737,0,0.460965609,0.052631579,0,0.319750331,0.793103448,7,0
1,0.6,0.5,0.000201389,0,0,4.86111E-05,0,5,0
0.142857143,0.041666667,0,0.000316358,0.25,0.993592814,0.000316358,0,3,0
0.017391304,0.083333333,0,0.662307099,0.25,0.993592814,0.000212191,0,3,0
1,0.090909091,0.5,0.930026455,0.454545455,0,0.929990079,0,7,0
0.045454545,0.03030303,0,0.974153439,0.454545455,0,0.974153439,0,7,0
0.070175439,0.166666667,0,0.347920525,0.25,0.993592814,0.347881944,0.793103448,3,0
0.066666667,0.041666667,0,0.765763889,0.25,0.993592814,0.765763889,0,3,0
0.222222222,0.083333333,0,0.884131944,0.25,0.993592814,0.765652006,0,3,0
0.052631579,0.041666667,0,0.827561728,0.25,0.993592814,0.827561728,0,3,0
0.043478261,0.166666667,0,0.056413691,0,0,0.056413691,0.8,7,0
0.157894737,0.375,0,0.523162037,0,0,0.000305556,0.727272727,5,0
0.571428571,0.666666667,0.5,0.00197586,0,0,0.00197586,1,7,1
0.052631579,0.125,0,0.024541667,0,0,0.024541667,1,5,0
0.009803922,0.023809524,0,0.991195437,0.571428571,0.993528095,0.991195437,0,7,0
0.210526316,0.235294118,0,3.80291E-05,0,0,8.2672E-06,0.833333333,7,0
0.481481481,0.26,1,0.930847222,0.64,0.993592814,0.927180556,0.666666667,5,1
0.103448276,0.136363636,0,0.69020668,0.181818182,0.993592814,0.69020172,0.8,7,0
0.058823529,0.045454545,0,0.158763228,0.181818182,0.993592814,0.158763228,0,7,0
0.022727273,0.045454545,0,0.577357804,0.181818182,0.993592814,0.577357804,0,7,0
0.025974026,0.117647059,0,1.15741E-05,0,0,3.3069E-06,0.833333333,7,0
0.043478261,0.058823529,0,0.007362765,0,0,0.007362765,0,7,0
0.071428571,0.025,0,0.851111111,0.55,0.993592814,0.851111111,0,5,0
0.020833333,0.017241379,0,0.317962963,0.689655172,0.993592814,0.317962963,0,1,0
0.025974026,0.034482759,0,0.319050926,0.689655172,0.993592814,0.316724537,0,1,0
0.011764706,0.017241379,0,0.422696759,0.689655172,0.993592814,0.422696759,0,1,0
0.034482759,0.017241379,0,0.492893519,0.689655172,0.993592814,0.492893519,0,1,0
0.142857143,0.1,0.5,0.867055556,0.55,0.993592814,0.86694213,0.9,5,1
0.111111111,0.2,0,0.002003968,0,0,0.001990741,0.777777778,7,0
0.2,0.3,0,0.619857804,0,0,0.244773479,0.7,7,0
0.083333333,0.05,0,0.899944444,0.55,0.993592814,0.899907407,0,5,0
0.014492754,0.2,0,0.169708995,0,0,0.142792659,0.865671642,7,0
0.181818182,0.05,0,0.914979167,0.55,0.993592814,0.914967593,0,5,0
0.105263158,0.2,0,0.263721892,0,0,0.263715278,0.909090909,7,0
0.125,0.1,0,0.42661541,0,0,0.42661541,1,7,0
0.4,0.076923077,0,0.949881944,0.307692308,0,0.949865741,0,5,0
0.1,0.038461538,0,0.956627315,0.307692308,0,0.956627315,0,5,0
0.142857143,0.03030303,0,4.9603E-06,0.454545455,0.993592814,4.9603E-06,0,7,0
0.010204082,0.03030303,0,0.027149471,0.454545455,0.993592814,0.027149471,0,7,0
0.5,0.151515152,0,0.727521495,0.454545455,0.993592814,0.713035714,0.75,7,0
0.04,0.2,0,0.0003125,0,0,0.0003125,1,3,0
0.010416667,0.076923077,0,0.964953704,0,0.993592814,0.964953704,0,3,0
0.012987013,0.058823529,0,0.990347222,0,0,0.990347222,0,1,0
0.027027027,0.058823529,0,0.914135803,0,0.993592814,0.914135803,0,3,0
0,0.058823529,0,0.001712963,0,0.993592814,0.001712963,0,3,0
0.07826087,0.219512195,0,0.972820216,0.56097561,0.993592814,0.779151235,0.87755102,3,0
0.75,0.073170732,0.5,0.94162037,0.56097561,0.993592814,0.941396605,0,3,1
0.025,0.058823529,0,0.002920525,0,0.993592814,0.002920525,0,3,0
0.060606061,0.4,0,7.10979E-05,0,0,1.65344E-05,0.736842105,7,0
0.054054054,0.4,0,0.019026124,0,0,0.019021164,0.857142857,7,0
0.026666667,0.043478261,0,0.7953125,0.608695652,0.99935281,0.795289352,0,1,0
1,0.235294118,0,0.945520833,0,0.993592814,0.945435957,1,3,0
0.015151515,0.033333333,0,1.62037E-05,0.4,0,1.62037E-05,0,5,0
0.028571429,0.033333333,0,6.9444E-06,0.4,0,6.9444E-06,0,5,0
0.333333333,0.033333333,0,9.2593E-06,0.4,0,9.2593E-06,0,5,0
0.166666667,0.033333333,0,0.011752315,0.4,0,0.011752315,0,5,0
0.008695652,0.032258065,0,1.15741E-05,0.419354839,0.993592814,1.15741E-05,0,5,0
0.012084592,0.129032258,0,0.054347222,0.419354839,0.993592814,0.035960648,0.848214286,5,0
0.056603774,0.096774194,0,0.092199074,0.419354839,0.993592814,0.001597222,0,5,0
0.033333333,0.142857143,0,0.892387566,0,0,0.892387566,1,7,0
0.08,0.086956522,0,0.960856482,0.608695652,0.99935281,0.844849537,0,1,0
0.75,0.065217391,0,0.875046296,0.608695652,0.99935281,0.875046296,0,1,0
0.014084507,0.066666667,0,0.332959105,0,0,0.332959105,0,3,0
0.090909091,0.032258065,0,0.171134259,0.419354839,0.993592814,0.171134259,0,5,0
0.266666667,0.129032258,0,0.556298611,0.419354839,0.993592814,0.4275,1,5,0
0.18,0.290322581,0,0.700717593,0.419354839,0.993592814,0.697171296,1,5,0
0.090909091,0.029411765,0,1.32275E-05,0.470588235,0.999935281,1.32275E-05,0,7,0
0.05,0.029411765,0,0.020008267,0.470588235,0.999935281,0.020008267,0,7,0
0.04,0.09375,0,0.851631944,0.4375,0.993592814,0.851631944,0,3,0
0.025641026,0.03125,0,0.966608796,0.4375,0.993592814,0.966608796,0,3,0
0.034482759,0.142857143,0,0.698981482,0,0,0.698981482,0.823529412,7,0
0,0.03125,0,0.981138117,0.4375,0.993592814,0.981138117,0,3,0
0.028571429,0.04,0,0.142399691,0.28,0,0.142399691,0,3,0
0.466666667,0.28,0,0.289949846,0.28,0,0.289949846,0.833333333,3,0
0.454545455,0.2,1,0.782916667,0.28,0,0.782858796,1,3,1
0.043478261,0.04,0,0.905783179,0.28,0,0.905783179,0,3,0
0.010416667,0.04,0,0.912966821,0.28,0,0.912966821,0,3,0
0.03030303,0.166666667,0,8.10185E-05,0,0,8.10185E-05,0.866666667,1,0
0.028571429,0.166666667,0,0.000127315,0,0,0.000127315,0.761904762,1,0
0.058823529,0.166666667,0,0.009560185,0,0,0.009560185,0.75,1,0
0.054054054,0.111111111,0,0.509166667,0,0,3.3069E-06,0.777777778,7,0
0.026666667,0.048780488,0,0.073955027,0.56097561,0.993528095,0.073943452,0,7,0
0.8,0.097560976,0,0.341317791,0.56097561,0.993528095,0.163503638,0,7,0
0.026086957,0.054545455,0,0.990189043,0.672727273,0.99935281,0.988337191,0,3,0
0.25,0.1,0,0.988219246,0,0,0.988219246,1,7,0
0.043478261,0.1,0,0.997488426,0,0,0.997488426,1,7,0
0.5,0.1,0,0.993136574,0,0,0.993136574,1,7,0
0.04,0.1,0,0.995760582,0,0,0.995760582,1,7,0
0.2,0.025,0,0.836226852,0.55,0.993592814,0.836226852,0,1,0
0.025,0.076923077,0,0.641577932,0,0,0.641577932,0,3,0
0.085714286,0.230769231,0.5,0.668800154,0,0,0.668765432,1,3,0
0.424242424,0.666666667,1,0.906998457,0.142857143,0,0.700131173,0.8,3,1
0.052631579,0.3,0.5,0.855553902,0,0,0.68051422,0.793103448,7,1
0.038461538,0.166666667,0,0.000127315,0,0,0.000127315,0.8,1,0
0.037037037,0.166666667,0,0.029560185,0,0,0.029560185,1,1,0
0.2,0.166666667,0,0.246608796,0,0,0.246608796,0.5,1,0
0.03030303,0.166666667,0,0.341180556,0,0,0.341180556,0.736842105,1,0
0.030769231,0.2,0,0.000135031,0,0,9.25926E-05,0.782608696,3,0
0.4,0.2,0,0.000771605,0,0,0.000771605,1,3,0
0.003021148,0.1,0,0.475416667,0,0,0.475416667,0.848214286,3,0
0.009259259,0.052631579,0,0.534490741,0.052631579,0,0.534490741,0,7,0
0.067226891,0.307692308,0,0.435183532,0.307692308,0.993592814,0.424454365,0.757575758,7,0
0.008196721,0.038461538,0,0.559907407,0.307692308,0.993592814,0.559907407,0,7,0
1,0.115384615,0,0.60880787,0.307692308,0.993592814,0.554413029,1,7,0
0.055555556,0.038461538,0,0.658450728,0.307692308,0.993592814,0.658450728,0,7,0
0.076923077,0.038461538,0,0.615486111,0.307692308,0.993592814,0.615486111,0,7,0
0.04,0.038461538,0,0.636008598,0.307692308,0.993592814,0.636008598,0,7,0
