Unemployment_rate,Season_Autumn,Season_Spring,Season_Summer,Season_Winter,Month_April,Month_August,Month_December,Month_February,Month_January,Month_July,Month_June,Month_March,Month_May,Month_November,Month_October,Month_September,binaryClass
8.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,N
8.2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,N
8.0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,N
8.75,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,P
7.25,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,N
7.25,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,N
7.75,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,P
7.5,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,P
7.25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,P
7.25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,N
8.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,N
8.5,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,N
10.25,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,P
11.25,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,P
11.0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,P
12.5,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,P
14.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,P
14.0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,P
14.25,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,P
12.75,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,P
12.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,P
12.25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,P
12.5,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,P
12.25,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,N
14.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,N
14.25,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,P
13.25,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,P
12.25,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,P
11.5,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,P
11.0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,N
12.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,P
11.0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,P
10.75,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,P
11.75,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,P
12.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,P
14.5,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,N
16.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,N
16.25,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,N
17.0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,P
15.5,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,P
14.25,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,P
14.25,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,P
14.75,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,P
14.5,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,P
14.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,P
15.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,P
16.5,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,N
17.25,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,P
17.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,P
16.5,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,P
17.0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,P
15.5,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,P
14.75,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,P
14.5,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,P
13.25,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,P
13.5,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,P
12.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,P
12.75,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,N
11.75,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,P
12.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,N
13.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,P
12.75,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,P
12.5,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,P
11.25,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,P
11.25,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,P
11.25,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,N
11.25,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,P
10.5,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,N
10.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,P
10.25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,N
11.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,N
10.75,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,N
12.5,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,N
10.5,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,N
10.75,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,P
10.5,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,P
10.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,N
10.5,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,P
11.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,N
10.0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,P
10.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,P
9.75,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,N
9.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,N
7.75,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,N
9.5,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,N
9.5,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,N
10.0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,N
9.25,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,N
9.5,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,N
9.5,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,P
9.25,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,P
8.0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,N
8.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,N
8.25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,N
8.25,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,N
7.75,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,N
8.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,N
9.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,P
8.5,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,N
8.75,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,P
8.25,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,N
9.0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,N
8.75,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,P
8.5,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,N
7.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,N
7.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,N
7.5,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,N
8.5,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,N
