Age,Positive,Disease_Mumps,Disease_Parvovirus,Disease_Rubella,binaryClass
1,56,1,0,0,N
2,48,1,0,0,N
3,137,1,0,0,N
4,195,1,0,0,N
5,290,1,0,0,N
6,255,1,0,0,N
7,236,1,0,0,N
8,211,1,0,0,N
9,271,1,0,0,N
10,276,1,0,0,N
11,259,1,0,0,N
12,301,1,0,0,N
13,296,1,0,0,N
14,345,1,0,0,N
15,112,1,0,0,P
16,112,1,0,0,N
17,142,1,0,0,N
18,186,1,0,0,N
19,202,1,0,0,N
20,156,1,0,0,N
21,155,1,0,0,N
22,200,1,0,0,N
23,166,1,0,0,N
24,165,1,0,0,N
25,179,1,0,0,N
26,171,1,0,0,N
27,175,1,0,0,N
28,147,1,0,0,N
29,137,1,0,0,N
30,114,1,0,0,N
31,117,1,0,0,N
32,99,1,0,0,P
33,95,1,0,0,P
34,80,1,0,0,P
35,77,1,0,0,P
36,65,1,0,0,P
37,63,1,0,0,P
38,69,1,0,0,P
39,46,1,0,0,P
40,61,1,0,0,P
41,55,1,0,0,P
42,42,1,0,0,P
43,37,1,0,0,P
44,39,1,0,0,P
1,31,0,0,1,N
2,30,0,0,1,N
3,34,0,0,1,N
4,57,0,0,1,N
5,95,0,0,1,N
6,104,0,0,1,N
7,90,0,0,1,N
8,96,0,0,1,N
9,134,0,0,1,N
10,110,0,0,1,N
11,111,0,0,1,N
12,147,0,0,1,N
13,138,0,0,1,N
14,141,0,0,1,N
15,53,0,0,1,P
16,49,0,0,1,P
17,73,0,0,1,P
18,69,0,0,1,P
19,97,0,0,1,P
20,65,0,0,1,P
21,74,0,0,1,P
22,84,0,0,1,P
23,82,0,0,1,P
24,79,0,0,1,P
25,90,0,0,1,P
26,84,0,0,1,P
27,81,0,0,1,P
28,72,0,0,1,P
29,71,0,0,1,P
30,51,0,0,1,P
31,45,0,0,1,P
32,45,0,0,1,P
33,35,0,0,1,P
34,39,0,0,1,P
35,36,0,0,1,P
36,37,0,0,1,P
37,37,0,0,1,P
38,37,0,0,1,P
39,28,0,0,1,P
40,26,0,0,1,P
41,25,0,0,1,P
42,21,0,0,1,P
43,18,0,0,1,P
44,18,0,0,1,P
1,9,0,1,0,P
2,12,0,1,0,P
3,12,0,1,0,P
4,18,0,1,0,P
5,23,0,1,0,P
6,27,0,1,0,P
7,28,0,1,0,P
8,27,0,1,0,P
9,44,0,1,0,P
10,39,0,1,0,P
11,34,0,1,0,P
12,52,0,1,0,P
13,32,0,1,0,P
14,58,0,1,0,P
15,27,0,1,0,P
16,37,0,1,0,P
17,53,0,1,0,P
18,49,0,1,0,P
19,51,0,1,0,P
20,61,0,1,0,P
21,51,0,1,0,P
22,62,0,1,0,P
23,69,0,1,0,N
24,62,0,1,0,N
25,57,0,1,0,P
26,40,0,1,0,P
27,47,0,1,0,P
28,37,0,1,0,P
29,63,0,1,0,P
30,38,0,1,0,P
31,23,0,1,0,P
32,36,0,1,0,P
33,33,0,1,0,P
34,38,0,1,0,P
35,21,0,1,0,P
36,24,0,1,0,P
37,28,0,1,0,P
38,18,0,1,0,P
39,25,0,1,0,P
40,22,0,1,0,P
41,9,0,1,0,P
42,12,0,1,0,P
43,14,0,1,0,P
44,16,0,1,0,P
