CreditScore,Age,Exited,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Gender_Female,Gender_Male,Geography
619,42,1,2,0.0,1,1,1,101348.88,1,0,France
608,41,0,1,83807.86,1,0,1,112542.58,1,0,Spain
502,42,1,8,159660.8,3,1,0,113931.57,1,0,France
699,39,0,1,0.0,2,0,0,93826.63,1,0,France
850,43,0,2,125510.82,1,1,1,79084.1,1,0,Spain
645,44,1,8,113755.78,2,1,0,149756.71,0,1,Spain
822,50,0,7,0.0,2,1,1,10062.8,0,1,France
376,29,1,4,115046.74,4,1,0,119346.88,1,0,Germany
501,44,0,4,142051.07,2,0,1,74940.5,0,1,France
684,27,0,2,134603.88,1,1,1,71725.73,0,1,France
528,31,0,6,102016.72,2,0,0,80181.12,0,1,France
497,24,0,3,0.0,2,1,0,76390.01,0,1,Spain
476,34,0,10,0.0,2,1,0,26260.98,1,0,France
549,25,0,5,0.0,2,0,0,190857.79,1,0,France
635,35,0,7,0.0,2,1,1,65951.65,1,0,Spain
616,45,0,3,143129.41,2,0,1,64327.26,0,1,Germany
653,58,1,1,132602.88,1,1,0,5097.67,0,1,Germany
549,24,0,9,0.0,2,1,1,14406.41,1,0,Spain
587,45,0,6,0.0,1,0,0,158684.81,0,1,Spain
726,24,0,6,0.0,2,1,1,54724.03,1,0,France
732,41,0,8,0.0,2,1,1,170886.17,0,1,France
636,32,0,8,0.0,2,1,0,138555.46,1,0,Spain
510,38,1,4,0.0,1,1,0,118913.53,1,0,Spain
669,46,0,3,0.0,2,0,1,8487.75,0,1,France
846,38,0,5,0.0,1,1,1,187616.16,1,0,France
577,25,0,3,0.0,2,0,1,124508.29,0,1,France
756,36,0,2,136815.64,1,1,1,170041.95,0,1,Germany
571,44,0,9,0.0,2,0,0,38433.35,0,1,France
574,43,0,3,141349.43,1,1,1,100187.43,1,0,Germany
411,29,0,0,59697.17,2,1,1,53483.21,0,1,France
591,39,1,3,0.0,3,1,0,140469.38,1,0,Spain
533,36,0,7,85311.7,1,0,1,156731.91,0,1,France
553,41,0,9,110112.54,2,0,0,81898.81,0,1,Germany
520,42,0,6,0.0,2,1,1,34410.55,1,0,Spain
722,29,0,9,0.0,2,1,1,142033.07,1,0,Spain
475,45,1,0,134264.04,1,1,0,27822.99,1,0,France
490,31,0,3,145260.23,1,0,1,114066.77,0,1,Spain
804,33,0,7,76548.6,1,0,1,98453.45,0,1,Spain
850,36,0,7,0.0,1,1,1,40812.9,0,1,France
582,41,0,6,70349.48,2,0,1,178074.04,0,1,Germany
472,40,0,4,0.0,1,1,0,70154.22,0,1,Spain
465,51,1,8,122522.32,1,0,0,181297.65,1,0,France
556,61,0,2,117419.35,1,1,1,94153.83,1,0,France
834,49,1,2,131394.56,1,0,0,194365.76,1,0,France
660,61,0,5,155931.11,1,1,1,158338.39,1,0,Spain
776,32,0,4,109421.13,2,1,1,126517.46,1,0,Germany
829,27,1,9,112045.67,1,1,1,119708.21,1,0,Germany
637,39,1,9,137843.8,1,1,1,117622.8,1,0,Germany
550,38,0,2,103391.38,1,0,1,90878.13,0,1,Germany
776,37,0,2,103769.22,2,1,0,194099.12,1,0,Germany
698,44,0,10,116363.37,2,1,0,198059.16,0,1,Germany
585,36,0,5,146050.97,2,0,0,86424.57,0,1,Germany
788,33,0,5,0.0,2,0,0,116978.19,1,0,France
655,41,1,8,125561.97,1,0,0,164040.94,0,1,Germany
601,42,1,1,98495.72,1,1,0,40014.76,0,1,Germany
619,43,0,1,125211.92,1,1,1,113410.49,0,1,France
656,45,0,5,127864.4,1,1,0,87107.57,0,1,France
725,19,0,0,75888.2,1,0,0,45613.75,0,1,Germany
511,66,1,4,0.0,1,1,0,1643.11,1,0,Spain
614,51,0,4,40685.92,1,1,1,46775.28,0,1,France
742,35,0,5,136857.0,1,0,0,84509.57,0,1,Germany
687,27,0,9,152328.88,2,0,0,126494.82,1,0,Germany
555,33,0,1,56084.69,2,0,0,178798.13,0,1,Spain
684,56,0,8,78707.16,1,1,1,99398.36,0,1,Spain
603,26,0,4,109166.37,1,1,1,92840.67,0,1,Germany
751,36,0,6,169831.46,2,1,1,27758.36,1,0,Germany
581,34,0,1,101633.04,1,1,0,110431.51,1,0,Germany
735,43,0,10,123180.01,2,1,1,196673.28,0,1,Germany
661,35,0,5,150725.53,2,0,1,113656.85,1,0,Germany
675,21,0,8,98373.26,1,1,0,18203.0,1,0,France
738,58,1,2,133745.44,4,1,0,28373.86,0,1,Germany
813,29,0,6,0.0,1,1,0,33953.87,0,1,France
657,37,0,0,163607.18,1,0,1,44203.55,1,0,Spain
604,25,0,5,157780.84,2,1,1,58426.81,1,0,Germany
519,36,0,9,0.0,2,0,1,145562.4,0,1,France
735,21,0,1,178718.19,2,1,0,22388.0,1,0,France
664,55,0,8,0.0,2,1,1,139161.64,0,1,France
678,32,0,9,0.0,1,1,1,148210.64,1,0,France
757,33,0,5,77253.22,1,0,1,194239.63,0,1,Spain
416,41,0,10,122189.66,2,1,0,98301.61,1,0,Germany
665,34,0,1,96645.54,2,0,0,171413.66,1,0,France
777,32,1,2,0.0,1,1,0,136458.19,1,0,France
543,36,0,3,0.0,2,0,0,26019.59,1,0,France
506,34,0,4,90307.62,1,1,1,159235.29,1,0,France
493,46,0,4,0.0,2,1,0,1907.66,1,0,France
652,75,0,10,0.0,2,1,1,114675.75,1,0,Spain
750,22,1,3,121681.82,1,1,0,128643.35,0,1,Spain
729,30,0,9,0.0,2,1,0,151869.35,0,1,France
646,46,1,4,0.0,3,1,0,93251.42,1,0,France
635,28,0,3,81623.67,2,1,1,156791.36,1,0,Germany
647,44,1,5,0.0,3,1,1,174205.22,1,0,Spain
808,45,0,7,118626.55,2,1,0,147132.46,0,1,France
524,36,0,10,0.0,2,1,0,109614.57,1,0,France
769,29,0,8,0.0,2,1,1,172290.61,0,1,France
730,42,0,4,0.0,2,0,1,85982.47,0,1,Spain
515,35,0,10,176273.95,1,0,1,121277.78,0,1,Spain
773,41,0,9,102827.44,1,0,1,64595.25,0,1,Spain
814,29,0,8,97086.4,2,1,1,197276.13,0,1,Germany
710,22,0,8,0.0,2,0,0,99645.04,0,1,Spain
413,34,0,9,0.0,2,0,0,6534.18,0,1,France
665,40,0,6,0.0,1,1,1,161848.03,1,0,France
623,44,0,6,0.0,2,0,0,167162.43,1,0,France
738,31,0,9,82674.15,1,1,0,41970.72,0,1,France
528,36,0,7,0.0,2,1,0,60536.56,0,1,Spain
670,65,1,1,0.0,1,1,1,177655.68,1,0,Spain
622,46,1,4,107073.27,2,1,1,30984.59,1,0,Spain
582,32,0,1,88938.62,1,1,1,10054.53,0,1,Germany
785,36,0,2,99806.85,1,0,1,36976.52,1,0,Germany
605,33,0,5,150092.8,1,0,0,71862.79,0,1,Spain
479,35,1,9,92833.89,1,1,0,99449.86,0,1,Germany
685,30,0,3,90536.81,1,0,1,63082.88,0,1,Germany
538,39,0,7,108055.1,2,1,0,27231.26,0,1,Germany
562,42,0,2,100238.35,1,0,0,86797.41,0,1,France
675,36,0,9,106190.55,1,0,1,22994.32,0,1,Spain
721,28,1,9,154475.54,2,0,1,101300.94,0,1,Germany
628,30,0,9,132351.29,2,1,1,74169.13,1,0,Germany
668,37,0,6,167864.4,1,1,0,115638.29,1,0,Germany
506,41,0,1,0.0,2,1,0,31766.3,1,0,France
524,31,1,8,107818.63,1,1,0,199725.39,1,0,Germany
699,34,0,4,185173.81,2,1,0,120834.48,0,1,Germany
828,34,0,8,129433.34,2,0,0,38131.77,0,1,France
674,39,0,6,120193.42,1,0,0,100130.95,0,1,Spain
656,39,0,6,0.0,2,1,0,141069.88,1,0,France
684,48,0,10,126384.42,1,1,1,198129.36,1,0,Germany
625,28,0,3,0.0,1,0,0,183646.41,1,0,France
432,42,1,9,152603.45,1,1,0,110265.24,0,1,France
549,52,1,1,0.0,1,0,1,8636.05,1,0,France
625,56,1,0,148507.24,1,1,0,46824.08,0,1,Germany
828,41,0,7,0.0,2,1,0,171378.77,1,0,France
770,24,0,9,101827.07,1,1,0,167256.35,0,1,France
758,34,0,3,0.0,2,1,1,124226.16,1,0,France
795,33,0,9,130862.43,1,1,1,114935.21,1,0,Germany
687,38,0,9,122570.87,1,1,1,35608.88,0,1,France
686,25,0,1,0.0,2,0,1,16459.37,0,1,France
789,39,0,7,124828.46,2,1,1,124411.08,0,1,Germany
589,50,0,5,144895.05,2,1,1,34941.23,1,0,Germany
461,34,0,5,63663.93,1,0,1,167784.28,1,0,Germany
637,40,0,2,133463.1,1,0,1,93165.34,0,1,France
584,48,1,2,213146.2,1,1,0,75161.25,1,0,Spain
579,35,1,1,129490.36,2,0,1,8590.83,1,0,Spain
756,44,0,10,137452.09,1,1,0,189543.9,0,1,Germany
663,34,0,7,0.0,2,1,1,180427.24,0,1,France
682,43,0,5,125851.93,1,1,1,193318.33,1,0,France
793,52,1,2,0.0,1,1,0,159123.82,0,1,Spain
691,31,1,5,40915.55,1,1,0,126213.84,1,0,France
485,21,0,5,113157.22,1,1,1,54141.5,1,0,Spain
635,29,0,8,138296.94,2,1,0,141075.51,1,0,Spain
650,37,0,5,106967.18,1,0,0,24495.03,0,1,France
735,44,0,9,120681.63,1,1,0,74836.34,0,1,France
416,32,0,0,0.0,2,0,1,878.87,0,1,France
754,32,0,7,0.0,2,1,0,89520.75,1,0,Spain
535,48,1,9,0.0,1,1,0,149892.79,1,0,France
