no_of_ifs,no_of_switches,no_of_loop,no_of_break,priority_queue_present,no_of_sort,hash_set_present,hash_map_present,recursion_present,nested_loop_depth,noOfVariables,noOfMethods,noOfJumps,noOfStatements,complexity
0,0,0,0,0,0,0,0,0,0,3,1,0,4,1
1,0,1,0,0,0,0,0,0,1,4,1,0,5,1
2,0,0,0,0,0,0,0,0,0,9,1,0,13,1
0,0,0,0,0,0,0,0,0,0,5,1,0,5,1
11,0,0,0,0,0,0,0,0,0,8,1,0,22,1
5,0,2,0,0,1,0,0,0,1,14,3,3,19,1
2,0,2,0,0,0,0,0,0,1,9,3,2,12,1
0,0,1,0,0,0,0,0,0,1,9,3,2,7,1
0,0,0,0,0,0,0,0,0,0,11,1,0,11,1
0,0,0,0,0,0,0,0,0,0,4,1,0,4,1
0,0,0,0,0,0,0,0,0,0,5,1,0,4,1
4,0,1,0,0,0,0,0,0,1,7,1,0,10,1
10,0,2,0,0,0,0,0,0,1,16,6,4,30,1
1,0,0,0,0,0,0,0,0,0,5,1,0,6,1
1,0,2,0,0,0,0,0,0,1,14,4,2,11,1
2,0,1,0,0,0,0,0,0,1,10,3,2,13,1
1,0,1,0,0,0,0,0,0,1,13,3,2,10,1
3,0,0,0,0,0,0,0,0,0,7,1,0,10,1
2,0,0,0,0,0,0,0,0,0,8,1,0,10,1
1,0,0,0,0,0,0,0,0,0,9,2,2,9,1
0,0,2,0,0,0,0,0,0,1,10,1,0,14,1
0,0,0,0,0,0,0,0,0,0,11,1,0,13,1
1,0,0,0,0,0,0,0,0,0,7,3,2,4,1
1,0,0,0,0,0,0,0,0,0,12,3,2,4,1
2,0,1,1,0,0,0,0,0,1,8,1,1,11,1
2,0,0,0,0,0,0,0,0,0,9,1,0,10,1
0,0,0,0,0,0,0,0,0,0,9,1,0,11,1
0,0,1,0,0,0,0,0,0,1,5,3,2,3,1
0,0,0,0,0,0,0,0,0,0,6,2,1,5,1
0,0,1,0,0,0,0,0,0,1,15,4,2,12,1
0,0,1,0,0,0,0,0,0,1,8,1,0,12,1
0,0,3,0,0,0,0,0,0,1,12,3,2,14,1
2,0,0,0,0,0,0,0,0,0,11,1,0,18,1
7,0,0,0,0,0,0,0,1,0,15,3,3,20,1
1,0,1,0,0,0,0,0,0,1,18,4,2,14,1
1,0,0,0,0,0,0,0,0,0,6,1,0,7,1
0,0,1,0,0,0,0,0,0,1,13,4,2,10,1
0,0,1,0,0,0,0,0,0,1,8,3,2,7,1
1,0,0,0,0,0,0,0,0,0,21,2,2,16,1
1,0,0,0,0,0,0,0,0,0,12,1,0,13,1
2,0,0,0,0,0,0,0,0,0,10,3,2,10,1
1,0,0,0,0,0,0,0,0,0,5,1,0,6,1
3,0,1,0,0,0,0,0,0,1,7,3,2,8,1
2,0,1,0,0,0,0,0,0,1,10,3,2,13,1
7,0,2,0,0,0,0,0,0,1,29,10,6,25,1
5,0,1,0,0,0,0,0,0,1,13,4,2,18,1
0,0,0,0,0,0,0,0,0,0,3,1,0,1,1
6,0,1,0,0,0,0,0,0,1,9,3,2,14,1
0,0,0,0,0,0,0,0,0,0,8,1,0,8,1
4,0,2,0,0,0,0,0,0,1,15,5,4,20,1
1,0,0,0,0,0,0,0,0,0,3,1,0,4,1
1,0,0,0,0,0,0,0,0,0,3,1,0,4,1
1,0,1,0,0,0,0,0,0,1,13,4,2,11,1
6,0,1,0,0,0,0,0,0,1,13,4,2,21,1
2,0,1,1,0,0,0,0,0,1,9,4,4,11,1
1,0,0,0,0,0,0,0,0,0,5,1,0,6,1
4,0,0,0,0,0,0,0,0,0,16,1,0,26,1
5,0,0,0,0,0,0,0,0,0,15,1,0,25,1
1,0,1,0,0,0,0,0,0,1,3,1,0,4,1
0,0,1,0,0,0,0,0,0,1,8,3,2,4,1
0,0,0,0,0,0,0,0,0,0,2,1,0,2,1
1,0,1,0,0,0,0,0,0,1,15,3,2,11,1
2,0,6,0,0,0,0,0,0,2,14,1,1,16,1
8,0,2,0,0,0,0,0,0,1,25,10,6,26,1
2,0,0,0,0,0,0,0,0,0,3,1,0,5,1
6,0,2,0,0,0,0,0,0,1,14,5,5,12,1
1,0,0,0,0,0,0,0,0,0,6,1,0,7,1
12,0,2,0,0,0,0,0,0,1,83,15,24,48,1
2,0,6,0,0,0,0,0,0,2,23,5,6,19,1
0,0,1,0,0,0,0,0,0,1,15,3,2,11,1
0,0,1,0,0,0,0,0,0,1,15,3,2,11,1
0,0,1,0,0,0,0,0,0,1,14,4,2,11,1
1,0,1,0,0,0,0,0,0,1,13,4,2,11,1
2,0,1,0,0,0,0,0,1,1,9,3,3,8,1
1,0,0,0,0,0,0,0,0,0,10,1,0,9,1
1,0,0,0,0,0,0,0,0,0,6,1,0,7,1
1,0,1,0,0,0,0,0,0,1,8,3,2,8,1
1,0,0,0,0,0,0,0,0,0,7,2,2,6,1
1,0,1,0,0,0,0,0,0,1,3,1,0,4,1
1,0,1,0,0,0,0,0,0,1,3,1,0,4,1
0,0,0,0,0,0,0,0,0,0,9,1,0,7,1
1,0,0,0,0,0,0,0,0,0,3,1,0,4,1
2,0,0,0,0,0,0,0,0,0,8,1,0,10,1
2,0,0,0,0,0,0,0,0,0,12,1,0,9,1
3,0,6,0,0,0,0,0,0,2,24,3,2,32,1
2,0,5,0,0,0,0,0,0,2,15,3,2,18,1
2,0,0,0,0,0,0,0,0,0,4,1,0,7,1
0,0,0,0,0,0,0,0,0,0,3,1,0,4,1
1,0,0,0,0,0,0,0,0,0,8,1,0,9,1
2,0,0,0,0,0,0,0,0,0,7,2,0,9,1
10,0,0,0,0,0,0,0,0,0,31,2,11,46,1
3,0,6,0,0,0,0,0,0,1,24,6,6,26,1
0,0,0,0,0,0,0,0,0,0,4,1,0,4,1
7,0,2,0,0,0,0,0,0,1,21,6,3,25,1
3,0,1,0,0,0,0,0,0,1,6,3,2,10,1
2,0,1,0,0,0,0,0,0,1,17,3,3,16,1
1,0,1,0,0,0,0,0,0,1,6,3,2,5,1
5,0,1,0,0,0,0,0,0,1,12,4,2,26,1
2,0,0,0,0,0,0,0,0,0,5,3,2,11,1
7,0,0,0,0,0,0,0,0,0,4,2,8,5,1
0,0,0,0,0,0,0,0,0,0,5,1,0,5,1
2,0,0,0,0,0,0,0,0,0,5,1,0,6,1
1,0,0,0,0,0,0,0,0,0,5,1,0,6,1
2,0,0,0,0,0,0,0,0,0,13,1,1,13,1
1,0,1,0,0,0,0,0,0,1,14,3,2,19,1
0,0,2,0,0,0,0,0,0,1,9,3,2,9,1
3,0,1,0,0,0,0,0,0,1,12,3,2,12,1
3,0,0,0,0,0,0,0,0,0,3,1,0,6,1
5,0,1,0,0,0,0,0,0,1,7,3,3,7,1
6,0,0,0,0,0,0,0,0,0,12,2,4,14,1
6,0,4,0,0,1,0,0,0,2,17,1,0,26,1
18,0,4,2,0,1,0,0,0,1,10,2,3,25,1
24,0,1,0,0,0,0,0,0,1,17,1,0,37,1
6,0,0,0,0,0,0,0,0,0,5,1,0,11,1
0,0,1,0,0,0,0,0,0,1,8,1,0,12,1
10,0,3,0,0,0,0,0,0,1,33,10,6,34,1
1,0,0,0,0,0,0,0,0,0,5,1,0,7,1
1,0,1,0,0,0,0,0,0,1,15,5,2,17,1
0,0,0,0,0,0,0,0,0,0,5,1,0,5,1
2,0,0,0,0,0,0,0,0,0,7,1,0,9,1
0,0,0,0,0,0,0,0,0,0,13,1,0,19,1
0,0,1,0,0,0,0,0,0,1,6,2,1,7,1
4,0,2,0,0,0,0,0,0,1,52,8,7,48,1
1,0,0,0,0,0,0,0,0,0,3,1,0,4,1
0,0,1,0,0,0,0,0,0,1,6,1,0,6,1
0,0,1,0,0,0,0,0,0,1,6,1,0,4,1
3,0,0,0,0,0,0,0,0,0,3,1,0,5,1
4,0,1,0,0,0,0,0,0,1,23,2,1,25,1
1,1,2,4,0,0,0,0,0,1,13,3,6,14,1
0,0,1,0,0,0,0,0,0,1,9,3,2,7,1
0,0,0,0,0,0,0,0,0,0,5,1,0,6,1
6,0,0,0,0,0,0,0,0,0,8,1,0,18,1
1,0,1,0,0,0,0,0,0,1,3,1,0,4,1
1,0,0,0,0,0,0,0,0,0,7,3,3,7,1
1,0,5,0,0,0,0,0,0,2,15,1,0,18,1
2,0,1,0,0,0,0,0,0,1,5,3,2,5,1
6,0,3,0,0,0,1,0,0,1,13,3,2,24,1
1,0,0,0,0,0,0,0,0,0,7,1,0,9,1
4,0,4,0,0,0,0,0,0,2,23,1,0,24,1
5,0,6,0,0,0,0,0,0,2,75,5,4,71,1
0,0,1,0,0,0,0,0,0,1,5,3,2,3,1
6,0,2,0,0,0,0,0,0,1,16,5,5,12,1
0,0,0,0,0,0,0,0,0,0,3,2,1,2,1
5,0,1,0,0,0,0,0,1,1,13,3,5,11,logn
10,0,3,0,0,0,0,0,0,1,29,6,8,39,logn
7,0,3,0,0,0,0,0,0,2,14,6,7,24,logn
5,0,1,0,0,0,0,0,0,1,8,1,1,18,logn
7,0,3,0,0,0,0,0,0,1,17,6,6,17,logn
10,0,3,0,0,0,0,0,0,1,29,6,8,39,logn
12,0,3,0,0,0,0,0,0,1,29,6,8,41,logn
5,0,2,1,0,0,0,0,0,1,25,6,7,25,logn
5,0,3,0,0,0,0,0,0,1,18,6,3,19,logn
4,0,2,0,0,0,0,0,0,1,23,7,4,31,logn
4,0,1,0,0,0,0,0,0,1,8,1,0,18,logn
3,0,2,0,0,0,0,0,0,1,15,3,2,21,logn
3,0,1,0,0,0,0,0,0,1,11,2,1,14,logn
3,0,1,0,0,0,0,0,1,1,22,4,5,17,logn
7,0,0,0,0,0,0,0,1,0,10,2,7,8,logn
6,0,0,0,0,0,0,0,1,0,13,3,7,7,logn
5,0,1,0,0,0,0,0,1,1,13,4,7,16,logn
5,0,0,0,0,0,0,0,1,0,14,2,3,13,logn
4,0,1,0,0,0,0,0,1,1,16,2,3,16,logn
4,0,2,0,0,0,0,0,0,1,13,3,4,14,logn
7,0,0,0,0,0,0,0,1,0,10,2,7,8,logn
7,0,0,0,0,0,0,0,1,0,9,3,7,6,logn
2,0,1,0,0,0,0,0,0,1,8,2,2,12,logn
4,0,1,0,0,0,0,0,0,1,16,2,2,29,logn
3,0,2,0,0,0,0,0,0,1,7,4,5,8,logn
4,0,1,0,0,0,0,0,0,1,10,2,2,26,logn
5,0,2,0,0,0,0,0,0,1,18,4,6,18,logn
4,0,1,0,0,0,0,0,0,1,11,2,2,17,logn
2,0,1,0,0,0,0,0,0,1,8,2,2,8,logn
3,0,0,0,0,0,0,0,1,0,7,2,4,4,logn
