ang,xF,yF,wF,hF,xRE,yRE,xLE,yLE,xN,yN,xRM,yRM,xLM,yLM,label
0,292,209,100,112,323,232,367,231,353,254,332,278,361,278,2
0,286,200,109,128,324,235,366,235,353,258,333,281,361,281,2
0,290,204,105,121,325,240,367,239,351,260,334,282,362,282,2
0,287,202,112,118,325,230,369,230,353,253,335,274,362,275,2
0,290,193,104,119,325,224,366,225,353,244,333,268,363,268,2
0,290,204,105,118,324,231,368,232,351,253,335,277,362,276,2
0,286,211,109,116,325,239,367,239,350,261,333,282,360,284,2
0,283,220,108,112,321,244,366,246,347,267,326,289,359,289,2
0,284,216,106,111,320,243,363,242,345,264,329,286,353,285,2
0,279,212,110,105,319,232,362,232,344,254,327,277,356,277,2
0,287,214,104,122,319,240,364,240,346,259,326,285,356,284,2
0,287,223,98,109,316,246,359,247,344,266,324,291,355,290,2
0,285,223,102,108,316,246,360,246,344,266,327,289,356,288,2
0,287,224,103,107,321,245,364,246,347,266,327,291,359,289,2
0,288,211,103,106,320,236,362,235,348,255,327,279,357,277,2
0,288,215,102,111,324,233,367,231,350,255,330,285,359,284,2
0,282,209,108,109,318,232,362,231,346,252,328,277,358,277,2
0,283,249,110,108,319,270,364,270,347,290,328,314,356,315,2
0,282,235,115,126,324,264,367,265,350,287,331,311,359,312,2
0,285,232,115,117,326,259,370,260,353,283,334,306,361,306,2
0,288,221,114,120,328,249,374,250,355,273,337,298,365,299,2
0,295,218,112,125,334,245,378,247,360,272,344,296,370,295,2
0,294,234,110,116,333,259,379,261,359,285,344,308,367,309,2
-15,294,209,115,121,334,236,379,238,359,262,344,284,367,285,2
-15,297,204,110,122,331,234,377,238,354,261,336,284,364,285,2
-30,291,211,111,129,319,240,369,245,341,272,327,293,352,295,1
-30,280,239,122,119,311,266,356,270,324,294,314,314,337,316,1
-45,271,235,111,123,300,264,345,269,312,291,302,311,327,312,1
-45,272,217,113,126,297,247,341,249,304,271,299,291,320,292,1
-45,257,220,110,122,287,246,330,248,291,271,288,295,319,295,1
-45,265,220,108,127,294,248,341,247,305,274,297,295,329,296,1
-30,268,219,113,125,299,249,350,252,317,276,307,299,337,298,1
-15,276,221,112,126,307,249,356,250,327,278,313,300,349,299,2
0,275,221,122,128,311,249,363,250,334,277,317,297,353,298,2
0,280,214,117,127,318,244,367,245,341,269,322,292,358,292,2
0,284,215,118,131,325,246,372,247,347,275,326,295,364,297,2
