hdi,binaryClass
0.116,P
0.143,P
0.15,P
0.15,P
0.157,P
0.162,P
0.2,P
0.208,P
0.212,P
0.212,P
0.235,P
0.236,P
0.239,P
0.25,P
0.255,P
0.258,P
0.273,P
0.274,P
0.282,P
0.294,P
0.304,P
0.304,P
0.318,P
0.322,P
0.328,P
0.333,P
0.337,P
0.354,P
0.356,P
0.36,P
0.369,P
0.393,P
0.395,P
0.404,P
0.413,P
0.423,P
0.439,P
0.44,P
0.471,P
0.471,P
0.474,P
0.481,P
0.481,P
0.489,P
0.501,P
0.506,P
0.525,N
0.535,N
0.548,P
0.561,P
0.563,P
0.576,P
0.58,P
0.591,P
0.592,P
0.608,P
0.609,N
0.646,N
0.651,P
0.657,N
0.66,N
0.691,N
0.699,P
0.702,N
0.714,P
0.716,P
0.719,N
0.731,N
0.735,N
0.737,P
0.743,P
0.751,N
0.752,N
0.753,N
0.758,N
0.759,N
0.782,N
0.783,P
0.784,P
0.784,N
0.788,N
0.789,N
0.789,P
0.79,P
0.8,N
0.801,N
0.824,P
0.824,N
0.861,N
0.863,N
0.876,N
0.877,N
0.883,N
0.885,N
0.899,N
0.899,N
0.903,N
0.91,N
0.91,N
0.913,N
0.915,N
0.916,N
0.916,N
0.918,N
0.92,N
0.931,N
0.931,N
0.936,N
0.946,N
0.953,N
0.957,N
0.961,N
0.961,N
0.961,N
0.965,N
0.966,N
0.966,N
0.966,N
0.967,N
0.967,N
0.97,N
0.971,N
0.974,N
0.978,N
0.983,N
0.983,N
0.984,N
0.986,N
0.987,N
0.996,N
