R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,Y
4.676,6.034,3.317,0.628,0.602,0.959,1.15,1.745,1,0.357,0.357,3.433,0.114,0.068,0.192,0.068,1
4.849,5.824,3.862,0.667,0.571,0.856,1.033,1.291,1,0.383,0.383,3.343,0.152,0.087,0.226,0.087,1
4.45,5.388,3.649,0.651,0.701,1.078,1.324,1.592,1.054,0.383,0.404,3.343,0.099,0.07,0.172,0.066,1
8.124,9.276,6.541,0.816,0.75,0.919,1.03,1.303,1,0.687,0.687,7.807,0.105,0.079,0.115,0.079,1
5.301,6.719,3.905,0.798,0.526,0.659,0.774,1.133,1,0.747,0.747,6.289,0.083,0.044,0.059,0.044,1
5.823,6.329,5.367,0.915,0.365,0.399,0.474,0.471,1,0.764,0.764,5.285,0.13,0.048,0.062,0.048,1
3.639,4.577,2.924,0.909,0.041,0.046,0.058,0.071,1,0.757,0.757,3.811,-0.969,-0.04,-0.053,-0.04,1
0.366,1.064,0.071,0.749,0.213,0.284,4.696,4.264,1,0.248,0.248,0.352,-0.621,-0.132,-0.534,-0.132,1
1.441,1.612,0.088,0.722,0.31,0.429,1.129,7.814,1,0.181,0.181,0.404,0.063,0.019,0.107,0.019,1
1.596,1.801,0.168,0.69,0.3,0.434,0.977,4.649,1,0.249,0.249,0.649,0.097,0.029,0.117,0.029,1
1.567,1.697,0.126,0.658,0.325,0.494,1.204,6.671,1,0.265,0.265,0.683,0.082,0.027,0.101,0.027,1
1.772,2.016,0.148,0.698,0.366,0.525,1.041,7.153,1,0.269,0.269,0.775,0.071,0.026,0.097,0.026,1
1.899,2.23,0.253,0.693,0.314,0.453,0.821,3.985,1,0.283,0.283,0.911,0.094,0.03,0.105,0.03,1
2.145,2.646,0.11,0.665,0.246,0.37,0.594,8.886,1,0.281,0.281,1.118,0.098,0.024,0.085,0.024,1
2.792,3.116,0.235,0.664,0.331,0.499,0.735,6.61,1,0.228,0.228,1.072,0.111,0.037,0.162,0.037,1
2.75,3.009,0.257,0.67,0.412,0.614,0.92,7.19,1,0.213,0.213,0.955,0.147,0.06,0.285,0.06,1
0.573,1.193,0.119,0.759,0.675,0.889,5.498,8.897,1,0.364,0.364,0.571,0.039,0.026,0.072,0.026,1
0.654,1.221,0.142,0.754,0.682,0.904,4.987,7.757,1,0.173,0.173,0.28,0.067,0.046,0.264,0.046,1
