tBodyAcc-mean()-X,tBodyAcc-mean()-Y,tBodyAcc-mean()-Z,tBodyAcc-std()-X,tBodyAcc-std()-Y,tBodyAcc-std()-Z,tGravityAcc-mean()-X,tGravityAcc-mean()-Y,tGravityAcc-mean()-Z,tGravityAcc-std()-X,tGravityAcc-std()-Y,tGravityAcc-std()-Z,tBodyAccJerk-mean()-X,tBodyAccJerk-mean()-Y,tBodyAccJerk-mean()-Z,tBodyAccJerk-std()-X,tBodyAccJerk-std()-Y,tBodyAccJerk-std()-Z,tBodyGyro-mean()-X,tBodyGyro-mean()-Y,tBodyGyro-mean()-Z,tBodyGyro-std()-X,tBodyGyro-std()-Y,tBodyGyro-std()-Z,tBodyGyroJerk-mean()-X,tBodyGyroJerk-mean()-Y,tBodyGyroJerk-mean()-Z,tBodyGyroJerk-std()-X,tBodyGyroJerk-std()-Y,tBodyGyroJerk-std()-Z,tBodyAccMag-mean(),tBodyAccMag-std(),tGravityAccMag-mean(),tGravityAccMag-std(),tBodyAccJerkMag-mean(),tBodyAccJerkMag-std(),tBodyGyroMag-mean(),tBodyGyroMag-std(),tBodyGyroJerkMag-mean(),tBodyGyroJerkMag-std(),fBodyAcc-mean()-X,fBodyAcc-mean()-Y,fBodyAcc-mean()-Z,fBodyAcc-std()-X,fBodyAcc-std()-Y,fBodyAcc-std()-Z,fBodyAccJerk-mean()-X,fBodyAccJerk-mean()-Y,fBodyAccJerk-mean()-Z,fBodyAccJerk-std()-X,fBodyAccJerk-std()-Y,fBodyAccJerk-std()-Z,fBodyGyro-mean()-X,fBodyGyro-mean()-Y,fBodyGyro-mean()-Z,fBodyGyro-std()-X,fBodyGyro-std()-Y,fBodyGyro-std()-Z,fBodyAccMag-mean(),fBodyAccMag-std(),fBodyBodyAccJerkMag-mean(),fBodyBodyAccJerkMag-std(),fBodyBodyGyroMag-mean(),fBodyBodyGyroMag-std(),fBodyBodyGyroJerkMag-mean(),fBodyBodyGyroJerkMag-std(),Activity
0.221598244,-0.040513953,-0.113203554,-0.928056469,-0.836827406,-0.826061402,-0.248881798,0.705549773,0.44581772,-0.896830018,-0.907720007,-0.85236629,0.081086534,0.003838204,0.010834236,-0.958482112,-0.924149274,-0.954855111,-0.016553094,-0.064486124,0.148689436,-0.873543868,-0.95109044,-0.908284663,-0.107270949,-0.041517287,-0.074050121,-0.918608521,-0.967907244,-0.95779016,-0.841929153,-0.795144864,-0.841929153,-0.795144864,-0.954396265,-0.928245628,-0.874759548,-0.81901017,-0.96346103,-0.935840983,-0.939099052,-0.867065205,-0.882666876,-0.924437435,-0.833625556,-0.812891559,-0.957073884,-0.92246261,-0.948060904,-0.964160709,-0.93221787,-0.960586987,-0.850249175,-0.952191495,-0.909302721,-0.882296451,-0.951232049,-0.916582508,-0.861767648,-0.79830094,-0.933300361,-0.921803976,-0.862190185,-0.82431944,-0.942366947,-0.932660668,'LAYING'
0.281373404,-0.01815874,-0.10724561,-0.974059465,-0.980277399,-0.984233297,-0.509754238,0.752536639,0.64683488,-0.959014441,-0.988211865,-0.984230418,0.082597251,0.012254788,-0.001802649,-0.985872169,-0.983172541,-0.988442014,-0.018476607,-0.111800825,0.144882846,-0.988275233,-0.982291609,-0.96030656,-0.101974134,-0.035859018,-0.070178302,-0.993235849,-0.989567538,-0.988035821,-0.977435485,-0.972873913,-0.977435485,-0.972873913,-0.987741696,-0.985518076,-0.95001157,-0.961164054,-0.991767074,-0.989718095,-0.97672506,-0.979800878,-0.984380982,-0.973246482,-0.981025106,-0.984792185,-0.985813631,-0.98276825,-0.986197135,-0.987250256,-0.984987393,-0.989345369,-0.986431143,-0.983321635,-0.962671888,-0.988860686,-0.981910616,-0.963174222,-0.975110196,-0.975121388,-0.985374115,-0.984568489,-0.972112973,-0.961098379,-0.990248702,-0.98949266,'LAYING'
0.275516853,-0.018955679,-0.101300478,-0.982776639,-0.962057545,-0.963691035,-0.241758478,0.8370321,0.488703185,-0.982512193,-0.98120275,-0.964807544,0.076981113,0.013804101,-0.004356259,-0.980879315,-0.968710725,-0.982093163,-0.020817054,-0.071850716,0.137999561,-0.974545752,-0.977272654,-0.963505609,-0.100044499,-0.038977177,-0.06873387,-0.980328645,-0.986762742,-0.98333828,-0.972791346,-0.964218176,-0.972791346,-0.964218176,-0.979484593,-0.976121298,-0.951564751,-0.954275111,-0.986713625,-0.983139256,-0.980665609,-0.961169983,-0.968332142,-0.983691129,-0.964094604,-0.96327908,-0.980513202,-0.968752114,-0.979122344,-0.983122616,-0.971044013,-0.983711905,-0.970167263,-0.978099682,-0.962341961,-0.975986434,-0.977032495,-0.967256854,-0.965524275,-0.968350217,-0.975949598,-0.975305378,-0.964586725,-0.955441856,-0.984278251,-0.982568158,'LAYING'
0.263559215,-0.015003184,-0.11068815,-0.954193739,-0.941714042,-0.962667315,-0.420664662,0.915165104,0.341531311,-0.921199966,-0.969816636,-0.976176609,0.093449422,0.006933132,-0.006410543,-0.978302781,-0.942209488,-0.978511984,-0.009231563,-0.093012818,0.169720404,-0.973102422,-0.961109292,-0.962073755,-0.105019878,-0.038123043,-0.071215629,-0.975103204,-0.98685563,-0.98396536,-0.954557603,-0.931292217,-0.954557603,-0.931292217,-0.970095772,-0.960786431,-0.930236463,-0.947031782,-0.985068502,-0.982698214,-0.958802078,-0.938883374,-0.967504279,-0.952464881,-0.946380971,-0.962154454,-0.978542457,-0.943969987,-0.975383329,-0.980079293,-0.944366882,-0.980261236,-0.967203736,-0.972187839,-0.961479263,-0.975094739,-0.9561825,-0.965807467,-0.939389701,-0.937187976,-0.962287125,-0.958037119,-0.96155666,-0.947100325,-0.983609073,-0.982543632,'LAYING'
0.278334326,-0.018304212,-0.107937604,-0.96593451,-0.969295613,-0.968562516,-0.483470598,0.954890346,0.263644692,-0.945695336,-0.985964054,-0.977076645,0.084816482,0.007474608,-0.003040672,-0.983307862,-0.964560431,-0.985419368,-0.021893501,-0.07987096,0.159894367,-0.979498707,-0.977427371,-0.960583777,-0.102114125,-0.040444693,-0.070830969,-0.983422258,-0.983759479,-0.989679592,-0.966777883,-0.958612786,-0.966777883,-0.958612786,-0.980141254,-0.977477145,-0.946938301,-0.958287922,-0.986419423,-0.98377138,-0.968741678,-0.965419521,-0.977007725,-0.964953894,-0.972909187,-0.965882191,-0.982689657,-0.965328566,-0.983250309,-0.98562527,-0.96624258,-0.986135599,-0.975797492,-0.978249646,-0.963202948,-0.98070577,-0.977257801,-0.963305738,-0.962234984,-0.962525369,-0.97735638,-0.976381935,-0.968257069,-0.959263063,-0.984618026,-0.983434493,'LAYING'
0.24865652,-0.010252917,-0.13311957,-0.934049422,-0.924644826,-0.9252161,-0.476709879,0.956593814,0.175867709,-0.88774631,-0.959161956,-0.928130738,0.096348196,-0.001145292,0.003288173,-0.966341055,-0.933674494,-0.959646055,-0.007960503,-0.107218315,0.179102058,-0.955378225,-0.943634949,-0.939141879,-0.111267285,-0.042410429,-0.071777474,-0.939611608,-0.95862882,-0.959579072,-0.918878851,-0.897326246,-0.918878851,-0.897326246,-0.954750505,-0.950341934,-0.908980175,-0.920914497,-0.955645738,-0.953157002,-0.939114254,-0.923706791,-0.938044912,-0.932462941,-0.92971122,-0.924004748,-0.967072437,-0.93604342,-0.954425845,-0.968619159,-0.935717453,-0.963567541,-0.93543977,-0.941771544,-0.932636613,-0.962164979,-0.945365098,-0.947136774,-0.912351652,-0.90537398,-0.948655471,-0.951552664,-0.930153639,-0.92869489,-0.953695957,-0.955504655,'LAYING'
0.250176694,-0.020441152,-0.101361037,-0.93651361,-0.926262669,-0.952978366,-0.502814251,0.393444278,0.907537823,-0.91422127,-0.955543549,-0.961908984,0.096890402,0.025062418,-0.013165392,-0.980977756,-0.97309316,-0.972983064,-0.002826419,-0.133605695,0.15592003,-0.960126823,-0.945071935,-0.955294891,-0.105944243,-0.035889743,-0.067190179,-0.973837233,-0.976483727,-0.988871878,-0.936392024,-0.907039513,-0.936392024,-0.907039513,-0.98012724,-0.967310932,-0.915793635,-0.918662459,-0.983008829,-0.971205138,-0.953424246,-0.942193954,-0.958611645,-0.931120581,-0.922917902,-0.953380646,-0.980393047,-0.972531649,-0.969524978,-0.983560175,-0.975886145,-0.975072995,-0.953684548,-0.957570208,-0.956905311,-0.962348254,-0.939727874,-0.958876413,-0.927976881,-0.910542463,-0.968066259,-0.965359228,-0.941130719,-0.918892519,-0.974117912,-0.969403035,'LAYING'
0.261254283,-0.021228173,-0.102245366,-0.943041215,-0.93489116,-0.932491454,-0.405930036,0.589922435,0.719831539,-0.918873192,-0.957990036,-0.941836263,0.08783269,0.023329916,-0.016921879,-0.973253042,-0.976520952,-0.966087575,0.005353612,-0.089137414,0.138188307,-0.965204018,-0.952039386,-0.967589755,-0.106445008,-0.03897352,-0.069412315,-0.969924077,-0.974186452,-0.987601204,-0.935308634,-0.91325033,-0.935308634,-0.91325033,-0.97314749,-0.962954517,-0.924253349,-0.932470764,-0.978438191,-0.969029112,-0.953538564,-0.951816664,-0.944269514,-0.940125298,-0.931236757,-0.931146498,-0.973110596,-0.975877437,-0.962111137,-0.975959911,-0.979170882,-0.968699223,-0.957903886,-0.95741116,-0.967461239,-0.967846361,-0.950316471,-0.970671966,-0.932279646,-0.917257979,-0.961792852,-0.963791094,-0.944528951,-0.93678697,-0.968403946,-0.97179328,'LAYING'
0.259195537,-0.020526822,-0.107549721,-0.94233309,-0.916292776,-0.940707285,-0.580252835,-0.119154196,0.957873042,-0.921821063,-0.969994488,-0.97120469,0.088073448,0.011561733,-0.007053678,-0.96474047,-0.96399668,-0.958562455,-0.013632036,-0.15890292,0.101275011,-0.94224651,-0.926618531,-0.96159537,-0.10384668,-0.027552257,-0.056949048,-0.945329035,-0.962170242,-0.97707616,-0.930868438,-0.9151268,-0.930868438,-0.9151268,-0.963374549,-0.955026805,-0.9071251,-0.898557874,-0.964524819,-0.95280156,-0.946865494,-0.934366598,-0.945919001,-0.940981027,-0.912836751,-0.941971164,-0.964304065,-0.964082806,-0.955909215,-0.968601304,-0.966634136,-0.959714718,-0.930297921,-0.934579659,-0.959815009,-0.94638915,-0.923131937,-0.965686312,-0.926604295,-0.921929738,-0.954320586,-0.955094712,-0.918605336,-0.903400581,-0.955806255,-0.95229047,'LAYING'
0.280230574,-0.024294484,-0.117168642,-0.968283685,-0.946454302,-0.959471486,-0.453069738,-0.139297681,-0.031121624,-0.954531942,-0.966701156,-0.963045642,0.073815064,0.015698997,0.007166896,-0.978007467,-0.966930793,-0.976256663,-0.019555937,-0.077032566,0.104720478,-0.9617132,-0.953660208,-0.971940597,-0.100308254,-0.038879792,-0.059074491,-0.965900578,-0.96662104,-0.983949303,-0.95678182,-0.940301654,-0.95678182,-0.940301654,-0.976234435,-0.967556981,-0.937590999,-0.927471166,-0.970830849,-0.959632932,-0.969184209,-0.954341849,-0.964300845,-0.967968039,-0.946229148,-0.959813668,-0.979014669,-0.968039174,-0.972592213,-0.978904364,-0.968120692,-0.978582339,-0.953793912,-0.954670034,-0.969755777,-0.964544566,-0.953453497,-0.975298797,-0.950848109,-0.944304975,-0.968561122,-0.965377553,-0.937692643,-0.933701315,-0.960976822,-0.960772876,'LAYING'
