e,z_0,z_1,z_2,z_3,z_4,z_5,z_6,z_7,z_8,z_9,z_17,z_18,binaryClass
0.057,1,0,0,0,0,0,0,0,0,0,0,0,P
0.064,1,0,0,0,0,0,0,0,0,0,0,0,P
0.064,1,0,0,0,0,0,0,0,0,0,0,0,P
0.066,0,1,0,0,0,0,0,0,0,0,0,0,P
0.462,1,0,0,0,0,0,0,0,0,0,0,0,P
0.086,1,0,0,0,0,0,0,0,0,0,0,0,P
0.114,1,0,0,0,0,0,0,0,0,0,0,0,P
0.117,1,0,0,0,0,0,0,0,0,0,0,0,P
0.118,1,0,0,0,0,0,0,0,0,0,0,0,P
0.119,1,0,0,0,0,0,0,0,0,0,0,0,P
0.126,1,0,0,0,0,0,0,0,0,0,0,0,P
0.231,0,1,0,0,0,0,0,0,0,0,0,0,P
0.261,0,1,0,0,0,0,0,0,0,0,0,0,P
0.211,0,1,0,0,0,0,0,0,0,0,0,0,P
0.216,0,1,0,0,0,0,0,0,0,0,0,0,P
0.218,1,0,0,0,0,0,0,0,0,0,0,0,P
0.648,0,1,0,0,0,0,0,0,0,0,0,0,P
0.143,1,0,0,0,0,0,0,0,0,0,0,0,P
0.144,0,0,1,0,0,0,0,0,0,0,0,0,P
0.21,0,1,0,0,0,0,0,0,0,0,0,0,P
0.244,1,0,0,0,0,0,0,0,0,0,0,0,P
0.53,0,0,0,1,0,0,0,0,0,0,0,0,P
0.796,0,0,1,0,0,0,0,0,0,0,0,0,P
1.622,0,0,0,0,1,0,0,0,0,0,0,0,P
0.561,0,0,1,0,0,0,0,0,0,0,0,0,P
0.762,1,0,0,0,0,0,0,0,0,0,0,0,P
1.222,0,1,0,0,0,0,0,0,0,0,0,0,P
0.513,0,0,0,0,1,0,0,0,0,0,0,0,P
0.532,1,0,0,0,0,0,0,0,0,0,0,0,P
0.936,0,1,0,0,0,0,0,0,0,0,0,0,P
0.503,0,1,0,0,0,0,0,0,0,0,0,0,P
0.564,1,0,0,0,0,0,0,0,0,0,0,0,P
0.572,0,0,1,0,0,0,0,0,0,0,0,0,P
0.583,1,0,0,0,0,0,0,0,0,0,0,0,P
0.722,1,0,0,0,0,0,0,0,0,0,0,0,P
0.771,0,0,1,0,0,0,0,0,0,0,0,0,P
1.873,0,0,0,0,1,0,0,0,0,0,0,0,P
0.532,1,0,0,0,0,0,0,0,0,0,0,0,P
0.584,1,0,0,0,0,0,0,0,0,0,0,0,P
0.672,0,0,1,0,0,0,0,0,0,0,0,0,P
0.722,0,1,0,0,0,0,0,0,0,0,0,0,P
0.904,0,1,0,0,0,0,0,0,0,0,0,0,P
1.236,1,0,0,0,0,0,0,0,0,0,0,0,P
0.95,1,0,0,0,0,0,0,0,0,0,0,0,P
1.405,0,1,0,0,0,0,0,0,0,0,0,0,P
0.776,0,0,0,1,0,0,0,0,0,0,0,0,P
1.013,1,0,0,0,0,0,0,0,0,0,0,0,P
0.739,1,0,0,0,0,0,0,0,0,0,0,0,P
1.77,0,1,0,0,0,0,0,0,0,0,0,0,P
0.821,1,0,0,0,0,0,0,0,0,0,0,0,P
1.115,0,0,1,0,0,0,0,0,0,0,0,0,P
1.164,0,0,0,1,0,0,0,0,0,0,0,0,P
1.164,1,0,0,0,0,0,0,0,0,0,0,0,P
1.303,1,0,0,0,0,0,0,0,0,0,0,0,P
1.774,0,0,0,1,0,0,0,0,0,0,0,0,P
3.585,0,1,0,0,0,0,0,0,0,0,0,0,P
1.193,0,1,0,0,0,0,0,0,0,0,0,0,P
1.213,0,1,0,0,0,0,0,0,0,0,0,0,P
1.232,0,1,0,0,0,0,0,0,0,0,0,0,P
1.517,0,0,0,0,1,0,0,0,0,0,0,0,P
1.52,0,0,0,1,0,0,0,0,0,0,0,0,P
1.862,0,0,0,1,0,0,0,0,0,0,0,0,P
1.888,0,1,0,0,0,0,0,0,0,0,0,0,P
1.247,1,0,0,0,0,0,0,0,0,0,0,0,P
1.381,0,0,1,0,0,0,0,0,0,0,0,0,P
1.643,0,0,1,0,0,0,0,0,0,0,0,0,P
1.66,0,0,0,0,1,0,0,0,0,0,0,0,P
1.827,0,0,0,0,1,0,0,0,0,0,0,0,P
1.486,0,0,0,1,0,0,0,0,0,0,0,0,P
1.593,0,0,1,0,0,0,0,0,0,0,0,0,P
