salary,age,elevel,car,credit,zipcode_0,zipcode_1,zipcode_2,zipcode_3,zipcode_4,zipcode_5,zipcode_6,zipcode_7,zipcode_8,brand
119806.5448,45,0,14,442037.7113,0,0,0,0,1,0,0,0,0,0
106880.4784,63,1,11,45007.17883,0,0,0,0,0,0,1,0,0,1
78020.75094,23,0,15,48795.32279,0,0,1,0,0,0,0,0,0,0
63689.93635,51,3,6,40888.87736,0,0,0,0,0,1,0,0,0,1
50873.6188,20,3,14,352951.4977,0,0,0,0,1,0,0,0,0,0
130812.7428,56,3,14,135943.022,0,0,0,1,0,0,0,0,0,1
136459.3392,24,4,8,80500.56351,0,0,0,0,0,1,0,0,0,1
103866.8996,62,3,3,359803.8935,1,0,0,0,0,0,0,0,0,1
72298.80402,29,4,17,276298.6952,1,0,0,0,0,0,0,0,0,0
37803.33285,41,1,5,493219.2686,0,0,0,0,1,0,0,0,0,1
63704.26156,48,4,16,299460.2274,0,0,0,0,0,1,0,0,0,1
128999.9356,52,1,6,152232.5098,1,0,0,0,0,0,0,0,0,0
57991.29599,52,3,20,227743.7497,0,0,0,0,1,0,0,0,0,1
82474.57645,33,4,13,424657.4967,0,0,0,1,0,0,0,0,0,0
63988.96981,62,2,6,262136.3065,0,0,0,1,0,0,0,0,0,0
132310.3604,23,1,11,451927.6024,0,0,0,0,1,0,0,0,0,1
113236.3836,24,2,7,198381.8984,0,0,0,0,0,0,0,1,0,1
120525.5994,57,1,6,15964.6837,0,0,1,0,0,0,0,0,0,0
121457.6349,50,2,2,415359.2324,0,0,0,0,0,0,0,0,1,0
89740.99923,77,0,18,195091.9259,0,0,1,0,0,0,0,0,0,1
95142.1181,44,0,2,89818.29461,0,0,0,0,0,0,0,0,1,0
87383.95734,80,3,7,243166.6117,0,0,0,0,0,1,0,0,0,1
21143.94206,64,2,11,296635.2507,0,0,1,0,0,0,0,0,0,1
34581.64726,55,0,15,185603.2507,0,0,0,0,0,0,1,0,0,1
37200.74208,32,3,9,168547.0761,0,0,0,0,0,0,1,0,0,1
60305.50057,58,1,4,469719.5006,0,0,0,0,1,0,0,0,0,1
32839.41644,30,4,20,177224.3626,0,1,0,0,0,0,0,0,0,1
45070.50666,48,3,1,360446.3909,0,0,0,0,0,1,0,0,0,1
92417.81235,43,0,2,22677.44642,1,0,0,0,0,0,0,0,0,0
107710.3192,75,0,16,209002.4065,0,0,1,0,0,0,0,0,0,1
148495.4447,62,2,9,377495.2951,0,1,0,0,0,0,0,0,0,1
78238.12041,70,3,8,80432.57726,1,0,0,0,0,0,0,0,0,0
97736.75249,21,1,1,76882.24568,0,0,1,0,0,0,0,0,0,1
91315.19507,57,3,16,267350.9575,0,0,0,0,0,0,1,0,0,0
125452.1207,42,3,14,417529.833,0,1,0,0,0,0,0,0,0,1
38579.20533,44,2,10,84260.2812,0,0,0,1,0,0,0,0,0,1
38043.11147,52,2,2,210004.5866,0,0,0,1,0,0,0,0,0,1
49692.09674,42,4,8,462826.1495,0,0,1,0,0,0,0,0,0,1
101454.6305,26,0,18,22960.79969,0,0,1,0,0,0,0,0,0,0
123266.0939,45,0,17,0.0,0,0,0,1,0,0,0,0,0,0
108356.0675,26,0,9,193313.0143,1,0,0,0,0,0,0,0,0,1
145227.4387,51,1,5,436186.7925,0,0,0,1,0,0,0,0,0,1
47038.66895,37,4,11,26372.01677,0,0,0,0,1,0,0,0,0,1
90380.44913,28,2,17,0.0,1,0,0,0,0,0,0,0,0,0
87634.04855,59,2,5,206711.9404,0,0,0,0,0,0,1,0,0,1
132209.9161,68,2,4,417555.6048,0,0,0,0,0,0,1,0,0,1
74868.80467,71,1,7,176808.022,0,0,0,0,0,1,0,0,0,0
75014.31541,72,3,18,296145.2233,0,0,0,1,0,0,0,0,0,1
97986.02981,69,2,5,247553.2448,0,0,0,0,0,1,0,0,0,1
76687.00712,41,0,4,405797.2386,0,0,0,1,0,0,0,0,0,0
36679.32036,35,4,12,15727.3963,0,1,0,0,0,0,0,0,0,1
87572.47168,43,1,12,68500.989,0,0,0,0,1,0,0,0,0,0
125796.5011,57,0,15,323423.7621,0,0,0,0,0,0,0,1,0,0
110027.6772,52,0,16,386734.4386,0,0,0,0,1,0,0,0,0,0
81015.25683,63,0,7,250036.0,0,0,0,0,0,0,0,1,0,1
88405.44247,36,4,8,195042.678,0,0,0,0,0,0,0,1,0,0
79709.08819,51,2,3,291992.4442,0,1,0,0,0,0,0,0,0,0
116982.1324,42,0,5,250699.3393,0,0,0,0,0,0,1,0,0,0
36761.19167,32,2,6,114826.0399,0,0,1,0,0,0,0,0,0,1
101996.8511,33,0,8,276545.1894,0,0,1,0,0,0,0,0,0,0
30991.66107,75,1,18,307978.644,0,0,0,0,1,0,0,0,0,0
137871.8319,24,0,17,115781.5242,0,0,0,0,0,1,0,0,0,1
83185.07469,62,4,2,163108.4384,0,0,0,0,0,0,0,0,1,1
31430.23788,47,4,10,177297.7198,0,0,1,0,0,0,0,0,0,1
50883.13139,72,1,18,259957.0146,0,0,0,0,0,0,1,0,0,0
63708.35087,31,0,18,129263.3169,0,0,0,0,0,0,1,0,0,0
66431.46169,79,1,20,388763.2145,0,0,0,0,0,0,1,0,0,0
145409.6872,22,1,16,393137.5146,0,0,0,1,0,0,0,0,0,1
79448.80903,42,2,5,62604.36209,0,0,1,0,0,0,0,0,0,0
131957.8134,65,4,11,238253.0074,0,1,0,0,0,0,0,0,0,1
91708.59748,44,4,9,396255.5288,0,0,0,0,0,1,0,0,0,0
150000.0,46,4,1,313158.5103,0,0,0,0,0,0,0,0,1,1
109505.1253,61,2,10,68952.84297,0,0,0,1,0,0,0,0,0,0
131927.7112,63,1,8,424565.9627,0,1,0,0,0,0,0,0,0,1
110539.0599,64,4,11,257476.5904,0,0,0,0,0,0,1,0,0,1
133162.3653,69,0,7,413996.4766,0,0,0,0,0,0,0,0,1,1
140352.0096,75,2,15,339276.6955,0,0,0,0,1,0,0,0,0,1
85161.21816,64,2,14,36491.25654,0,0,0,0,0,1,0,0,0,1
42954.52214,64,0,13,463502.2803,1,0,0,0,0,0,0,0,0,0
143756.6798,54,1,13,88560.27002,0,0,1,0,0,0,0,0,0,1
137368.9441,57,4,12,415156.2822,0,0,0,0,0,0,0,0,1,1
43377.95669,30,0,6,190336.1605,0,0,1,0,0,0,0,0,0,1
85919.98579,75,3,7,43412.86628,0,1,0,0,0,0,0,0,0,1
147788.4085,30,1,5,131963.4556,0,0,1,0,0,0,0,0,0,1
66923.38974,73,4,11,266925.7954,0,1,0,0,0,0,0,0,0,0
144289.5569,31,4,7,113120.0512,0,0,0,0,0,0,0,1,0,1
91947.70597,73,0,12,237813.5768,0,0,0,0,0,0,1,0,0,1
96785.84648,52,4,19,148748.7091,0,0,0,0,0,1,0,0,0,0
47399.23601,21,4,2,362188.0274,0,0,0,1,0,0,0,0,0,1
42158.55331,53,1,3,121961.5697,0,0,0,0,0,0,1,0,0,1
56740.9202,66,2,18,144605.2693,0,0,0,0,0,0,1,0,0,0
101076.8581,22,0,6,268532.5642,0,1,0,0,0,0,0,0,0,1
37854.62392,59,0,9,496484.7927,1,0,0,0,0,0,0,0,0,1
104524.7856,75,3,9,252602.3268,0,0,0,1,0,0,0,0,0,1
51053.51946,30,0,15,88354.59118,0,0,0,0,0,1,0,0,0,0
46822.50581,29,2,7,414381.2016,0,0,0,0,0,0,0,0,1,0
34759.47997,58,4,16,396818.5906,0,1,0,0,0,0,0,0,0,1
141628.0388,75,2,18,326686.0247,0,0,0,1,0,0,0,0,0,1
59628.93628,36,4,12,290262.5533,0,0,0,0,0,0,0,1,0,0
78358.97271,76,3,10,365827.7418,0,0,0,0,0,0,0,1,0,1
26963.8117,35,1,8,266219.8571,0,0,0,0,0,1,0,0,0,1
116112.6737,26,4,19,404450.4455,0,0,0,0,0,0,0,1,0,1
83246.06241,73,3,13,252877.311,0,0,1,0,0,0,0,0,0,1
130659.3274,29,0,15,271194.6055,1,0,0,0,0,0,0,0,0,1
47868.26996,41,2,14,36230.61235,0,0,0,1,0,0,0,0,0,1
96033.56517,57,1,14,482692.673,0,0,0,0,0,0,1,0,0,0
31392.28755,24,1,1,491295.7244,0,0,0,0,0,0,0,1,0,1
69737.79123,61,2,16,348396.9512,0,0,0,0,0,0,1,0,0,0
27102.74327,46,0,16,293842.1544,0,0,1,0,0,0,0,0,0,1
23654.64631,76,0,14,460399.5189,0,1,0,0,0,0,0,0,0,1
138560.6316,62,4,18,81219.09461,1,0,0,0,0,0,0,0,0,1
84730.79371,61,4,16,190860.2432,0,0,0,0,0,0,1,0,0,1
138221.6411,45,2,7,219282.5017,0,0,0,0,1,0,0,0,0,1
80798.43468,47,2,11,390780.3539,0,0,0,0,0,1,0,0,0,0
129050.4786,77,4,10,481644.6779,0,0,0,0,1,0,0,0,0,1
96839.44554,53,1,18,393853.3631,0,0,0,0,1,0,0,0,0,0
116080.6148,65,3,19,70909.89901,0,0,0,0,0,0,0,0,1,1
100820.0127,70,4,4,463076.2302,0,0,0,0,0,0,1,0,0,1
129274.9851,29,2,12,98820.08272,1,0,0,0,0,0,0,0,0,1
102307.338,77,0,3,305063.1696,0,1,0,0,0,0,0,0,0,1
112471.3817,24,1,2,318564.8699,0,0,1,0,0,0,0,0,0,1
48880.22734,38,2,9,376145.7739,0,0,0,0,1,0,0,0,0,1
80460.46303,21,4,2,180388.1352,0,0,0,0,0,0,0,1,0,0
43727.80569,43,3,19,199837.2545,0,1,0,0,0,0,0,0,0,1
134832.8799,44,3,10,387388.682,0,0,0,0,0,0,1,0,0,1
89282.60355,55,3,14,245925.2087,0,0,0,0,1,0,0,0,0,0
117663.2622,70,1,5,291348.255,1,0,0,0,0,0,0,0,0,1
117036.9001,34,3,3,114259.2543,0,0,1,0,0,0,0,0,0,1
103561.6649,38,3,4,362072.0556,0,0,0,0,0,0,0,1,0,1
23964.83034,57,1,17,165441.501,0,0,0,0,1,0,0,0,0,1
53452.1516,32,1,20,24755.74467,0,0,1,0,0,0,0,0,0,0
134663.8237,51,1,2,476990.3625,0,1,0,0,0,0,0,0,0,1
27705.55768,41,4,16,213908.7984,0,0,0,0,0,1,0,0,0,1
68420.3845,26,4,14,485034.8151,0,0,1,0,0,0,0,0,0,0
83499.84104,78,4,19,211182.218,0,0,0,1,0,0,0,0,0,1
45257.89254,40,2,11,374850.8742,0,0,0,0,1,0,0,0,0,1
22083.3418,52,1,14,87643.63816,0,0,0,0,0,0,0,1,0,1
115221.605,42,3,12,460387.283,0,0,0,0,0,0,0,0,1,0
84020.68676,72,4,11,334105.9909,0,0,0,0,1,0,0,0,0,1
109830.1691,24,1,9,144156.9785,0,0,0,0,0,0,0,0,1,1
140784.7192,60,4,3,485468.1685,0,0,0,0,1,0,0,0,0,1
104363.634,29,2,15,71762.09863,0,0,0,0,0,0,0,0,1,1
58089.91395,45,2,9,460439.3142,0,0,0,0,0,1,0,0,0,1
138483.5089,34,4,17,158932.9768,0,0,0,0,0,0,0,1,0,1
27228.80043,39,0,19,365463.041,0,1,0,0,0,0,0,0,0,1
120233.0347,70,2,16,91005.91966,0,0,0,0,0,0,0,0,1,1
137794.6133,24,0,13,216481.9042,0,0,1,0,0,0,0,0,0,1
33466.40514,74,4,20,123852.0306,0,0,0,0,0,0,1,0,0,0
26386.96058,52,1,3,93758.19955,0,0,1,0,0,0,0,0,0,1
125116.9682,32,3,15,290177.4608,1,0,0,0,0,0,0,0,0,1
111872.7192,41,0,8,13674.56176,0,1,0,0,0,0,0,0,0,0
55982.03847,60,3,2,50869.17995,0,1,0,0,0,0,0,0,0,0
133279.7834,41,2,15,260987.137,0,0,0,0,0,0,1,0,0,1
25011.38899,20,4,3,282742.6841,0,0,0,0,0,0,0,1,0,1
41010.73299,62,4,9,476510.2101,0,0,0,0,1,0,0,0,0,1
148518.7501,52,1,17,293916.2145,0,0,0,0,0,0,0,0,1,1
140390.2986,69,2,7,235410.8935,0,0,0,0,0,0,1,0,0,1
106841.0035,78,3,2,386222.3608,0,0,0,0,0,1,0,0,0,1
