v(A),v(B),r(AXII)(Å),r(AVI)(Å),r(BVI)(Å),EN(A),EN(B),l(AO)(Å),l(BO)(Å),ΔENR,tG,τ,μ,A_Ac,A_Ag,A_Al,A_As,A_Au,A_B,A_Ba,A_Be,A_Bi,A_Ca,A_Cd,A_Ce,A_Co,A_Cr,A_Cs,A_Cu,A_Dy,A_Er,A_Eu,A_Fe,A_Ga,A_Gd,A_Ge,A_Hf,A_Hg,A_Ho,A_In,A_Ir,A_K,A_La,A_Li,A_Lu,A_Mg,A_Mn,A_Mo,A_Na,A_Nb,A_Nd,A_Ni,A_Np,A_Os,A_Pa,A_Pb,A_Pd,A_Pm,A_Pr,A_Pt,A_Pu,A_Rb,A_Re,A_Rh,A_Ru,A_Sb,A_Sc,A_Si,A_Sm,A_Sn,A_Sr,A_Ta,A_Tb,A_Tc,A_Te,A_Th,A_Ti,A_Tl,A_Tm,A_U,A_V,A_W,A_Y,A_Yb,A_Zn,A_Zr,B_Ac,B_Ag,B_Al,B_As,B_Au,B_B,B_Ba,B_Be,B_Bi,B_Ca,B_Cd,B_Ce,B_Co,B_Cr,B_Cs,B_Cu,B_Dy,B_Er,B_Eu,B_Fe,B_Ga,B_Gd,B_Ge,B_Hf,B_Hg,B_Ho,B_In,B_Ir,B_K,B_La,B_Li,B_Lu,B_Mg,B_Mn,B_Mo,B_Na,B_Nb,B_Nd,B_Ni,B_Np,B_Os,B_Pa,B_Pb,B_Pd,B_Pm,B_Pr,B_Pt,B_Pu,B_Rb,B_Re,B_Rh,B_Ru,B_Sb,B_Sc,B_Si,B_Sm,B_Sn,B_Sr,B_Ta,B_Tb,B_Tc,B_Te,B_Th,B_Ti,B_Tl,B_Tm,B_U,B_V,B_W,B_Y,B_Yb,B_Zn,B_Zr,In literature_False,In literature_True,Lowest distortion
0,0,1.12,1.12,1.12,1.1,1.1,0,0,-3.248,0.707106781,,0.8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,cubic
0,0,1.12,1.12,0.95,1.1,1.93,0,2.488353231,-2.565071429,0.758259187,,0.678571429,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,orthorhombic
0,0,1.12,1.12,0.54,1.1,1.61,0,1.892894405,-1.846714286,0.918509839,,0.385714286,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,cubic
0,0,1.12,1.12,0.52,1.1,2.18,0,1.932227032,-1.577428571,0.92807765,,0.371428571,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,orthorhombic
0,0,1.12,1.12,0.93,1.1,2.54,0,2.31369847,-2.279785714,0.764767849,,0.664285714,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,orthorhombic
0,0,1.12,1.12,0.27,1.1,2.04,0,1.624661665,-1.117357143,1.06701143,,0.192857143,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,cubic
0,0,1.12,1.12,1.35,1.1,0.89,0,2.64009357,-3.806785714,0.647966941,,0.964285714,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,orthorhombic
0,0,1.12,1.12,0.45,1.1,1.57,0,1.803349248,-1.676928571,0.963194102,,0.321428571,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,cubic
0,0,1.12,1.12,0.9,1.1,2.02,0,2.215655462,-2.425857143,0.774743082,,0.642857143,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,orthorhombic
0,0,1.12,1.12,1,1.1,1,0,2.318139449,-3.040285714,0.74246212,,0.714285714,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,orthorhombic
