Usage_kWh,Lagging_Current_Reactive.Power_kVarh,Leading_Current_Reactive_Power_kVarh,CO2(tCO2),Lagging_Current_Power_Factor,Leading_Current_Power_Factor,NSM,WeekStatus_Weekday,WeekStatus_Weekend,Day_of_week_Friday,Day_of_week_Monday,Day_of_week_Saturday,Day_of_week_Sunday,Day_of_week_Thursday,Day_of_week_Tuesday,Day_of_week_Wednesday,Load_Type
3.17,2.95,0.0,0.0,73.21,100.0,900,1,0,0,1,0,0,0,0,0,Light_Load
4.0,4.46,0.0,0.0,66.77,100.0,1800,1,0,0,1,0,0,0,0,0,Light_Load
3.24,3.28,0.0,0.0,70.28,100.0,2700,1,0,0,1,0,0,0,0,0,Light_Load
3.31,3.56,0.0,0.0,68.09,100.0,3600,1,0,0,1,0,0,0,0,0,Light_Load
3.82,4.5,0.0,0.0,64.72,100.0,4500,1,0,0,1,0,0,0,0,0,Light_Load
3.28,3.56,0.0,0.0,67.76,100.0,5400,1,0,0,1,0,0,0,0,0,Light_Load
3.6,4.14,0.0,0.0,65.62,100.0,6300,1,0,0,1,0,0,0,0,0,Light_Load
3.6,4.28,0.0,0.0,64.37,100.0,7200,1,0,0,1,0,0,0,0,0,Light_Load
3.28,3.64,0.0,0.0,66.94,100.0,8100,1,0,0,1,0,0,0,0,0,Light_Load
3.78,4.72,0.0,0.0,62.51,100.0,9000,1,0,0,1,0,0,0,0,0,Light_Load
3.46,4.03,0.0,0.0,65.14,100.0,9900,1,0,0,1,0,0,0,0,0,Light_Load
3.24,3.64,0.0,0.0,66.49,100.0,10800,1,0,0,1,0,0,0,0,0,Light_Load
3.96,4.97,0.0,0.0,62.32,100.0,11700,1,0,0,1,0,0,0,0,0,Light_Load
3.31,3.74,0.0,0.0,66.27,100.0,12600,1,0,0,1,0,0,0,0,0,Light_Load
3.31,3.85,0.0,0.0,65.19,100.0,13500,1,0,0,1,0,0,0,0,0,Light_Load
3.89,5.0,0.0,0.0,61.4,100.0,14400,1,0,0,1,0,0,0,0,0,Light_Load
3.28,3.82,0.0,0.0,65.14,100.0,15300,1,0,0,1,0,0,0,0,0,Light_Load
3.56,4.28,0.0,0.0,63.95,100.0,16200,1,0,0,1,0,0,0,0,0,Light_Load
3.74,4.54,0.0,0.0,63.58,100.0,17100,1,0,0,1,0,0,0,0,0,Light_Load
3.31,3.6,0.0,0.0,67.68,100.0,18000,1,0,0,1,0,0,0,0,0,Light_Load
3.56,4.07,0.0,0.0,65.84,100.0,18900,1,0,0,1,0,0,0,0,0,Light_Load
3.56,4.1,0.0,0.0,65.56,100.0,19800,1,0,0,1,0,0,0,0,0,Light_Load
3.28,3.49,0.0,0.0,68.48,100.0,20700,1,0,0,1,0,0,0,0,0,Light_Load
3.78,4.32,0.0,0.0,65.85,100.0,21600,1,0,0,1,0,0,0,0,0,Light_Load
3.35,3.64,0.0,0.0,67.72,100.0,22500,1,0,0,1,0,0,0,0,0,Light_Load
3.24,3.35,0.0,0.0,69.52,100.0,23400,1,0,0,1,0,0,0,0,0,Light_Load
3.89,4.46,0.0,0.0,65.73,100.0,24300,1,0,0,1,0,0,0,0,0,Light_Load
3.31,3.53,0.0,0.0,68.4,100.0,25200,1,0,0,1,0,0,0,0,0,Light_Load
3.28,3.49,0.0,0.0,68.48,100.0,26100,1,0,0,1,0,0,0,0,0,Light_Load
3.85,4.75,0.0,0.0,62.97,100.0,27000,1,0,0,1,0,0,0,0,0,Light_Load
3.2,3.6,0.0,0.0,66.44,100.0,27900,1,0,0,1,0,0,0,0,0,Light_Load
3.31,3.78,0.0,0.0,65.88,100.0,28800,1,0,0,1,0,0,0,0,0,Light_Load
3.78,4.75,0.0,0.0,62.27,100.0,29700,1,0,0,1,0,0,0,0,0,Light_Load
3.28,3.74,0.0,0.0,65.94,100.0,30600,1,0,0,1,0,0,0,0,0,Light_Load
3.49,4.46,0.18,0.0,61.63,99.87,31500,1,0,0,1,0,0,0,0,0,Light_Load
3.89,0.0,15.66,0.0,100.0,24.11,32400,1,0,0,1,0,0,0,0,0,Light_Load
3.6,0.0,16.96,0.0,100.0,20.76,33300,1,0,0,1,0,0,0,0,0,Light_Load
4.03,0.0,21.28,0.0,100.0,18.61,34200,1,0,0,1,0,0,0,0,0,Light_Load
3.92,0.0,19.22,0.0,100.0,19.98,35100,1,0,0,1,0,0,0,0,0,Light_Load
3.64,0.0,16.88,0.0,100.0,21.08,36000,1,0,0,1,0,0,0,0,0,Light_Load
4.07,0.0,22.32,0.0,100.0,17.94,36900,1,0,0,1,0,0,0,0,0,Light_Load
3.71,0.0,18.0,0.0,100.0,20.19,37800,1,0,0,1,0,0,0,0,0,Light_Load
3.6,0.0,16.92,0.0,100.0,20.81,38700,1,0,0,1,0,0,0,0,0,Light_Load
4.21,0.0,23.4,0.0,100.0,17.71,39600,1,0,0,1,0,0,0,0,0,Light_Load
3.49,0.0,5.65,0.0,100.0,52.55,40500,1,0,0,1,0,0,0,0,0,Light_Load
3.46,0.0,4.82,0.0,100.0,58.31,41400,1,0,0,1,0,0,0,0,0,Light_Load
4.0,0.0,6.7,0.0,100.0,51.26,42300,1,0,0,1,0,0,0,0,0,Light_Load
3.49,0.0,4.57,0.0,100.0,60.69,43200,1,0,0,1,0,0,0,0,0,Light_Load
3.6,0.0,12.89,0.0,100.0,26.9,44100,1,0,0,1,0,0,0,0,0,Light_Load
4.25,0.0,23.15,0.0,100.0,18.06,45000,1,0,0,1,0,0,0,0,0,Light_Load
3.67,0.0,16.67,0.0,100.0,21.5,45900,1,0,0,1,0,0,0,0,0,Light_Load
3.67,0.0,16.63,0.0,100.0,21.55,46800,1,0,0,1,0,0,0,0,0,Light_Load
4.25,0.0,23.33,0.0,100.0,17.92,47700,1,0,0,1,0,0,0,0,0,Light_Load
3.64,0.0,16.74,0.0,100.0,21.25,48600,1,0,0,1,0,0,0,0,0,Light_Load
3.67,0.0,16.99,0.0,100.0,21.11,49500,1,0,0,1,0,0,0,0,0,Light_Load
4.28,0.0,23.4,0.0,100.0,17.99,50400,1,0,0,1,0,0,0,0,0,Light_Load
3.64,0.0,16.67,0.0,100.0,21.33,51300,1,0,0,1,0,0,0,0,0,Light_Load
3.78,0.0,18.25,0.0,100.0,20.28,52200,1,0,0,1,0,0,0,0,0,Light_Load
4.1,0.0,22.1,0.0,100.0,18.24,53100,1,0,0,1,0,0,0,0,0,Light_Load
3.64,0.0,16.7,0.0,100.0,21.3,54000,1,0,0,1,0,0,0,0,0,Light_Load
3.92,0.0,19.33,0.0,100.0,19.87,54900,1,0,0,1,0,0,0,0,0,Light_Load
4.1,0.0,21.35,0.0,100.0,18.86,55800,1,0,0,1,0,0,0,0,0,Light_Load
3.6,0.0,16.81,0.0,100.0,20.94,56700,1,0,0,1,0,0,0,0,0,Light_Load
3.96,0.0,20.45,0.0,100.0,19.01,57600,1,0,0,1,0,0,0,0,0,Light_Load
4.0,0.0,20.77,0.0,100.0,18.91,58500,1,0,0,1,0,0,0,0,0,Light_Load
3.6,0.0,16.81,0.0,100.0,20.94,59400,1,0,0,1,0,0,0,0,0,Light_Load
4.07,0.0,21.64,0.0,100.0,18.48,60300,1,0,0,1,0,0,0,0,0,Light_Load
3.82,0.0,19.19,0.0,100.0,19.52,61200,1,0,0,1,0,0,0,0,0,Light_Load
3.56,0.0,16.96,0.0,100.0,20.54,62100,1,0,0,1,0,0,0,0,0,Light_Load
4.1,0.0,23.51,0.0,100.0,17.18,63000,1,0,0,1,0,0,0,0,0,Light_Load
3.6,0.0,17.39,0.0,100.0,20.27,63900,1,0,0,1,0,0,0,0,0,Light_Load
3.6,0.0,17.35,0.0,100.0,20.32,64800,1,0,0,1,0,0,0,0,0,Light_Load
4.0,0.0,8.96,0.0,100.0,40.77,65700,1,0,0,1,0,0,0,0,0,Light_Load
3.42,0.0,5.47,0.0,100.0,53.01,66600,1,0,0,1,0,0,0,0,0,Light_Load
3.67,0.0,16.24,0.0,100.0,22.04,67500,1,0,0,1,0,0,0,0,0,Light_Load
4.07,0.0,22.57,0.0,100.0,17.75,68400,1,0,0,1,0,0,0,0,0,Light_Load
3.53,0.0,17.39,0.0,100.0,19.89,69300,1,0,0,1,0,0,0,0,0,Light_Load
3.85,0.0,20.74,0.0,100.0,18.25,70200,1,0,0,1,0,0,0,0,0,Light_Load
3.96,0.0,20.88,0.0,100.0,18.63,71100,1,0,0,1,0,0,0,0,0,Light_Load
3.56,0.0,17.35,0.0,100.0,20.1,72000,1,0,0,1,0,0,0,0,0,Light_Load
4.03,0.0,22.54,0.0,100.0,17.6,72900,1,0,0,1,0,0,0,0,0,Light_Load
3.74,0.0,19.55,0.0,100.0,18.79,73800,1,0,0,1,0,0,0,0,0,Light_Load
3.56,0.0,17.42,0.0,100.0,20.02,74700,1,0,0,1,0,0,0,0,0,Light_Load
4.21,0.0,24.26,0.0,100.0,17.1,75600,1,0,0,1,0,0,0,0,0,Light_Load
3.56,0.0,17.75,0.0,100.0,19.66,76500,1,0,0,1,0,0,0,0,0,Light_Load
3.53,0.0,17.42,0.0,100.0,19.86,77400,1,0,0,1,0,0,0,0,0,Light_Load
4.25,0.0,25.2,0.0,100.0,16.63,78300,1,0,0,1,0,0,0,0,0,Light_Load
