length,vowels,consonants,vowel_consonant_ratio,spaces,dots,words,even_odd_0,even_odd_1,first_char_vowel_0,first_char_vowel_1,second_char_vowel_0,second_char_vowel_1,class
15,7,7,1.0,1,0,2,1,0,0,1,0,1,+
20,6,11,0.55,2,1,3,0,1,0,1,1,0,-
12,4,7,0.57,1,0,2,0,1,0,1,1,0,-
11,6,4,1.5,1,0,2,1,0,0,1,1,0,-
15,5,7,0.71,2,1,3,1,0,0,1,1,0,-
12,2,7,0.29,2,1,3,0,1,0,1,1,0,-
13,5,7,0.71,1,0,2,1,0,0,1,1,0,-
13,4,8,0.5,1,0,2,1,0,0,1,1,0,-
18,8,9,0.89,1,0,2,0,1,0,1,1,0,-
16,8,7,1.14,1,0,2,0,1,0,1,1,0,-
16,6,9,0.67,1,0,2,0,1,0,1,1,0,-
11,4,6,0.67,1,0,2,1,0,0,1,1,0,-
16,8,7,1.14,1,0,2,0,1,0,1,1,0,-
12,6,5,1.2,1,0,2,0,1,0,1,0,1,+
10,3,6,0.5,1,0,2,0,1,0,1,1,0,-
20,8,11,0.73,1,0,2,0,1,1,0,0,1,+
20,7,10,0.7,2,1,3,0,1,1,0,0,1,+
19,5,13,0.38,1,0,2,1,0,1,0,0,1,+
16,5,10,0.5,1,0,2,0,1,1,0,1,0,-
10,2,7,0.29,1,0,2,0,1,1,0,0,1,+
9,3,5,0.6,1,0,2,1,0,1,0,0,1,+
9,3,5,0.6,1,0,2,1,0,1,0,0,1,+
20,5,12,0.42,2,1,3,0,1,1,0,1,0,-
17,5,9,0.56,2,1,3,1,0,1,0,1,0,-
12,4,7,0.57,1,0,2,0,1,1,0,1,0,-
18,6,9,0.67,2,1,3,0,1,1,0,1,0,-
13,2,8,0.25,2,1,3,1,0,1,0,0,1,+
16,5,8,0.62,2,1,3,0,1,1,0,0,1,+
15,3,9,0.33,2,1,3,1,0,1,0,1,0,-
12,2,7,0.29,2,1,3,0,1,1,0,1,0,-
14,5,8,0.62,1,0,2,0,1,1,0,1,0,-
12,3,8,0.38,1,0,2,0,1,1,0,1,0,-
14,3,10,0.3,1,0,2,0,1,1,0,1,0,-
12,3,8,0.38,1,0,2,0,1,1,0,1,0,-
13,6,6,1.0,1,0,2,1,0,1,0,1,0,-
19,6,11,0.55,2,0,3,1,0,1,0,1,0,-
13,5,7,0.71,1,0,2,1,0,1,0,1,0,-
19,8,10,0.8,1,0,2,1,0,1,0,1,0,-
14,4,9,0.44,1,0,2,0,1,1,0,1,0,-
20,6,13,0.46,1,0,2,0,1,1,0,1,0,-
17,7,9,0.78,1,0,2,1,0,1,0,1,0,-
15,4,10,0.4,1,0,2,1,0,1,0,0,1,+
12,4,7,0.57,1,0,2,0,1,1,0,0,1,+
8,2,5,0.4,1,0,2,0,1,1,0,0,1,+
12,5,6,0.83,1,0,2,0,1,1,0,0,1,+
8,3,4,0.75,1,0,2,0,1,1,0,0,1,+
15,5,9,0.56,1,0,2,1,0,1,0,0,1,+
17,6,10,0.6,1,0,2,1,0,1,0,0,1,+
16,5,8,0.62,2,1,3,0,1,1,0,0,1,+
13,5,7,0.71,1,0,2,1,0,1,0,0,1,+
15,4,8,0.5,2,1,3,1,0,1,0,0,1,+
10,3,6,0.5,1,0,2,0,1,1,0,0,1,+
12,4,7,0.57,1,0,2,0,1,1,0,0,1,+
13,4,8,0.5,1,0,2,1,0,1,0,0,1,+
14,5,8,0.62,1,0,2,0,1,1,0,0,1,+
14,4,9,0.44,1,0,2,0,1,1,0,0,1,+
17,6,10,0.6,1,0,2,1,0,1,0,0,1,+
13,5,7,0.71,1,0,2,1,0,1,0,0,1,+
16,5,10,0.5,1,0,2,0,1,1,0,0,1,+
12,5,6,0.83,1,0,2,0,1,1,0,0,1,+
12,4,5,0.8,2,1,3,0,1,1,0,0,1,+
14,4,7,0.57,2,1,3,0,1,1,0,0,1,+
16,4,9,0.44,2,1,3,0,1,1,0,0,1,+
12,5,6,0.83,1,0,2,0,1,1,0,0,1,+
12,4,7,0.57,1,0,2,0,1,1,0,0,1,+
12,4,7,0.57,1,0,2,0,1,1,0,1,0,-
14,5,8,0.62,1,0,2,0,1,1,0,0,1,+
18,4,9,0.44,3,2,4,0,1,0,1,0,1,+
11,4,6,0.67,1,0,2,1,0,0,1,1,0,-
12,4,7,0.57,1,0,2,0,1,0,1,1,0,-
11,4,6,0.67,1,0,2,1,0,0,1,1,0,-
13,5,7,0.71,1,0,2,1,0,0,1,1,0,-
13,5,7,0.71,1,0,2,1,0,0,1,1,0,-
9,4,4,1.0,1,0,2,1,0,0,1,1,0,-
16,6,9,0.67,1,0,2,0,1,0,1,1,0,-
16,7,8,0.88,1,0,2,0,1,1,0,0,1,+
12,5,6,0.83,1,0,2,0,1,1,0,0,1,+
17,4,10,0.4,2,1,3,1,0,1,0,0,1,+
13,3,9,0.33,1,0,2,1,0,1,0,1,0,-
14,3,8,0.38,2,1,3,0,1,1,0,0,1,+
10,3,6,0.5,1,0,2,0,1,1,0,0,1,+
15,5,9,0.56,1,0,2,1,0,1,0,0,1,+
17,6,8,0.75,2,1,3,1,0,1,0,0,1,+
11,4,6,0.67,1,0,2,1,0,1,0,0,1,+
14,4,7,0.57,2,1,3,0,1,1,0,0,1,+
16,4,9,0.44,2,1,3,0,1,1,0,0,1,+
17,5,11,0.45,1,0,2,1,0,1,0,1,0,-
19,8,10,0.8,1,0,2,1,0,1,0,1,0,-
10,3,6,0.5,1,0,2,0,1,1,0,0,1,+
21,10,10,1.0,1,0,2,1,0,1,0,0,1,+
14,4,9,0.44,1,0,2,0,1,1,0,0,1,+
10,2,7,0.29,1,0,2,0,1,1,0,0,1,+
14,6,7,0.86,1,0,2,0,1,1,0,0,1,+
14,6,7,0.86,1,0,2,0,1,1,0,0,1,+
11,3,7,0.43,1,0,2,1,0,1,0,0,1,+
11,3,7,0.43,1,0,2,1,0,1,0,0,1,+
20,8,11,0.73,1,0,2,0,1,0,1,1,0,-
18,5,10,0.5,2,1,3,0,1,1,0,1,0,-
13,3,6,0.5,2,2,3,1,0,1,0,1,0,-
14,4,7,0.57,2,1,3,0,1,1,0,0,1,+
11,3,7,0.43,1,0,2,1,0,1,0,0,1,+
13,4,8,0.5,1,0,2,1,0,1,0,0,1,+
11,4,6,0.67,1,0,2,1,0,1,0,0,1,+
21,9,10,0.9,2,0,3,1,0,1,0,0,1,+
18,7,10,0.7,1,0,2,0,1,1,0,0,1,+
12,3,8,0.38,1,0,2,0,1,1,0,0,1,+
14,5,8,0.62,1,0,2,0,1,1,0,0,1,+
12,4,7,0.57,1,0,2,0,1,1,0,0,1,+
9,2,6,0.33,1,0,2,1,0,1,0,0,1,+
10,5,4,1.25,1,0,2,0,1,1,0,0,1,+
12,4,7,0.57,1,0,2,0,1,1,0,0,1,+
13,5,7,0.71,1,0,2,1,0,1,0,0,1,+
18,5,12,0.42,1,0,2,0,1,1,0,0,1,+
9,3,5,0.6,1,0,2,1,0,1,0,0,1,+
12,3,8,0.38,1,0,2,0,1,1,0,0,1,+
13,3,7,0.43,2,1,3,1,0,1,0,0,1,+
12,3,6,0.5,2,1,3,0,1,1,0,0,1,+
12,3,8,0.38,1,0,2,0,1,1,0,0,1,+
15,4,10,0.4,1,0,2,1,0,1,0,0,1,+
16,5,10,0.5,1,0,2,0,1,1,0,0,1,+
12,4,7,0.57,1,0,2,0,1,1,0,0,1,+
14,5,8,0.62,1,0,2,0,1,1,0,0,1,+
16,5,8,0.62,2,1,3,0,1,1,0,0,1,+
17,6,10,0.6,1,0,2,1,0,1,0,0,1,+
12,4,7,0.57,1,0,2,0,1,1,0,0,1,+
16,4,9,0.44,2,1,3,0,1,1,0,0,1,+
12,4,7,0.57,1,0,2,0,1,1,0,0,1,+
15,6,8,0.75,1,0,2,1,0,1,0,0,1,+
13,4,8,0.5,1,0,2,1,0,1,0,1,0,-
12,4,5,0.8,2,1,3,0,1,1,0,0,1,+
8,2,5,0.4,1,0,2,0,1,1,0,0,1,+
17,5,11,0.45,1,0,2,1,0,1,0,0,1,+
10,4,5,0.8,1,0,2,0,1,1,0,0,1,+
13,6,6,1.0,1,0,2,1,0,1,0,0,1,+
8,2,5,0.4,1,0,2,0,1,1,0,0,1,+
15,6,8,0.75,1,0,2,1,0,1,0,0,1,+
16,5,10,0.5,1,0,2,0,1,1,0,0,1,+
15,4,8,0.5,2,1,3,1,0,1,0,1,0,-
25,8,16,0.5,1,0,2,1,0,1,0,1,0,-
17,3,11,0.27,2,1,3,1,0,1,0,1,0,-
13,4,8,0.5,1,0,2,1,0,1,0,0,1,+
11,4,6,0.67,1,0,2,1,0,1,0,0,1,+
10,3,6,0.5,1,0,2,0,1,1,0,0,1,+
12,4,7,0.57,1,0,2,0,1,1,0,0,1,+
12,5,6,0.83,1,0,2,0,1,1,0,0,1,+
21,7,12,0.58,2,0,3,1,0,1,0,0,1,+
14,4,9,0.44,1,0,2,0,1,1,0,0,1,+
16,6,9,0.67,1,0,2,0,1,1,0,0,1,+
11,3,7,0.43,1,0,2,1,0,1,0,0,1,+
14,6,7,0.86,1,0,2,0,1,1,0,0,1,+
15,4,8,0.5,2,1,3,1,0,1,0,0,1,+
13,3,7,0.43,2,1,3,1,0,1,0,1,0,-
12,5,6,0.83,1,0,2,0,1,1,0,0,1,+
15,6,8,0.75,1,0,2,1,0,1,0,0,1,+
17,5,9,0.56,2,1,3,1,0,1,0,0,1,+
15,4,10,0.4,1,0,2,1,0,1,0,0,1,+
