MPG,cubicInches,horsepower,weightLbs,time-to-sixty,year_1971,year_1972,year_1973,year_1974,year_1975,year_1976,year_1977,year_1978,year_1979,year_1980,year_1981,year_1982,year_1983,cylinders_3,cylinders_4,cylinders_5,cylinders_6,cylinders_8,class
14.0,350,165,4209,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
31.9,89,71,1925,14,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
17.0,302,140,3449,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
15.0,400,150,3761,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
30.5,98,63,2051,17,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2
23.0,350,125,3900,17,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2
13.0,351,158,4363,13,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
14.0,440,215,4312,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
25.4,183,77,3530,20,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
37.7,89,62,2050,17,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1
34.0,108,70,2245,17,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1
34.3,97,78,2188,16,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
16.0,302,140,4141,14,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2
11.0,350,180,3664,11,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
19.1,225,90,3381,19,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2
16.9,350,155,4360,15,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2
31.8,85,65,2020,19,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
