LOC6_0,LOC6_1,Added_LoC,Del_LoC,Diff_Block,Mod_Rate,ReusedLoC,Faulty6_1
127,126,6,7,2,10,120,0
458,441,50,67,17,23,391,0
182,178,10,14,3,13,168,0
270,270,14,14,3,10,256,0
107,104,11,14,4,21,93,0
892,869,40,63,16,11,829,0
816,800,80,96,26,20,720,0
685,669,64,84,22,20,601,0
2728,2757,73,44,22,4,2684,0
2924,2923,219,220,58,14,2704,0
875,862,95,108,32,21,767,0
243,240,9,12,3,8,231,0
1851,1834,363,380,65,34,1471,0
1349,1410,330,269,87,36,1080,0
817,761,128,184,28,33,633,0
2218,2198,251,271,55,21,1947,0
1441,1378,107,170,39,18,1271,0
790,750,61,101,24,19,689,0
2017,2058,227,186,53,18,1831,0
1026,1046,109,89,26,17,937,0
409,414,44,39,13,18,370,0
182,178,14,18,5,16,164,0
758,751,51,58,12,13,700,0
1834,1786,229,277,75,25,1557,0
1238,1159,231,310,77,37,928,0
301,306,44,39,11,24,262,0
878,868,113,123,24,24,755,0
354,329,91,116,21,47,238,0
99,98,5,6,2,11,93,0
22,22,2,2,1,17,20,0
20,20,2,2,1,18,18,0
86,87,22,21,11,40,65,0
34,33,6,7,2,33,27,0
30,29,6,7,3,36,23,0
493,466,88,115,35,35,378,0
226,267,76,35,10,37,191,0
866,858,60,68,18,14,798,0
686,676,43,53,14,13,633,0
988,988,2,2,1,0,986,0
1077,1069,38,46,13,8,1031,0
781,798,72,55,21,15,726,0
489,482,48,55,13,19,434,0
615,618,29,26,5,9,589,0
96,95,6,7,2,13,89,0
893,896,5,2,4,1,891,0
1347,1399,130,78,25,14,1269,0
500,528,97,69,18,28,431,0
161,402,300,59,16,78,102,0
5408,5336,411,483,95,15,4925,0
2232,2187,235,280,66,21,1952,0
1233,1209,110,134,30,18,1099,0
1076,1106,130,100,33,19,976,0
1267,1278,145,134,31,20,1133,0
1793,1813,336,316,52,31,1477,0
193,214,66,45,7,43,148,0
473,480,36,29,8,13,444,0
148,220,113,41,18,59,107,0
420,418,76,78,18,31,342,0
677,704,92,65,27,20,612,0
1400,1410,144,134,39,18,1266,0
508,487,66,87,23,27,421,0
50,44,18,24,3,62,26,0
15,15,3,3,3,33,12,0
627,605,36,58,12,14,569,1
518,571,147,94,19,36,424,1
189,201,53,41,9,39,148,0
145,140,11,16,4,17,129,0
1219,1224,113,108,40,17,1111,0
2640,2610,78,108,27,7,2532,0
1017,1022,35,30,13,6,987,0
1041,1020,101,122,30,20,919,0
1666,1675,33,24,9,3,1642,0
192,184,15,23,5,18,169,0
977,975,156,158,26,28,819,0
1427,1388,57,96,23,10,1331,0
2005,2180,504,329,63,33,1676,0
2500,2407,422,515,58,32,1985,0
1226,1208,74,92,17,13,1134,0
1324,1254,524,594,42,60,730,0
1643,1636,136,143,22,16,1500,0
1848,1908,204,144,28,17,1704,0
694,736,174,132,26,35,562,0
398,412,102,88,15,38,310,0
3673,3767,497,403,96,22,3270,1
73,72,7,8,2,19,65,0
160,149,38,49,13,44,111,0
397,387,35,45,10,19,352,0
175,172,13,16,4,15,159,0
989,1113,248,124,42,30,865,0
136,133,11,14,4,17,122,0
253,273,51,31,10,27,222,0
495,506,116,105,29,36,390,0
354,398,103,59,32,35,295,0
70,68,10,12,3,28,58,0
259,257,19,21,8,14,238,0
359,361,38,36,8,19,323,0
1402,1482,284,204,60,29,1198,0
620,611,68,77,21,21,543,0
207,199,34,42,9,32,165,0
533,544,108,97,17,32,436,0
56,66,26,16,5,51,40,1
1654,1671,331,314,88,32,1340,1
844,869,152,127,38,28,717,1
249,346,213,116,20,71,133,1
2494,2721,479,252,95,25,2242,1
318,302,47,63,11,30,255,0
548,620,126,54,21,27,494,0
467,463,46,50,10,19,417,0
1078,1086,103,95,25,17,983,0
2338,2425,349,262,70,23,2076,0
126,124,11,13,3,18,113,0
252,240,32,44,10,27,208,0
1624,1629,190,185,51,21,1439,0
481,480,56,57,11,21,424,0
392,400,43,35,6,18,357,0
1854,1861,261,254,64,24,1600,0
354,361,57,50,10,26,304,0
1154,1133,142,163,34,24,991,0
910,984,205,131,36,30,779,0
992,1043,204,153,36,30,839,0
1396,1401,184,179,36,23,1217,0
278,267,37,48,10,27,230,0
483,459,87,111,21,35,372,0
1000,986,157,171,31,28,829,0
1865,1804,199,260,55,22,1605,0
313,312,52,53,13,29,260,0
988,994,151,145,29,26,843,0
874,864,109,119,23,23,755,1
992,1003,187,176,34,31,816,1
2358,2394,360,324,80,25,2034,1
