Absolute Magnitude,Est Dia in KM(min),Est Dia in KM(max),Est Dia in M(min),Est Dia in M(max),Est Dia in Miles(min),Est Dia in Miles(max),Est Dia in Feet(min),Est Dia in Feet(max),Epoch Date Close Approach,Relative Velocity km per sec,Relative Velocity km per hr,Miles per hour,Miss Dist.(Astronomical),Miss Dist.(lunar),Miss Dist.(kilometers),Miss Dist.(miles),Orbit Uncertainity,Minimum Orbit Intersection,Jupiter Tisserand Invariant,Epoch Osculation,Eccentricity,Semi Major Axis,Inclination,Asc Node Longitude,Orbital Period,Perihelion Distance,Perihelion Arg,Aphelion Dist,Perihelion Time,Mean Anomaly,Mean Motion,Orbiting Body,Equinox,Hazardous
21.3,0.146067964,0.326617897,146.0679643,326.6178974,0.090762397,0.20295089,479.2256199,1071.581063,7.89E+11,18.11398503,65210.34609,40519.17311,0.383014463,148.99263,57298148,35603420,3,0.186935,5.457,2458000.5,0.351674305,1.107775954,28.41299637,136.7172417,425.8692942,0.718199616,313.0919748,1.497352293,2457794.969,173.741112,0.845329788,1,1,0
27.4,0.008801465,0.019680675,8.801465209,19.68067451,0.005468975,0.012229,28.87619912,64.56914416,7.90E+11,11.1738745,40225.94819,24994.83986,0.28532233,110.990387,42683616,26522368,6,0.0055118,5.093,2458000.5,0.216578308,1.25590289,7.905894348,57.17326613,514.0821404,0.983901567,18.70770087,1.527904212,2457902.337,68.74100662,0.700277196,1,1,0
19.6,0.319561887,0.714562102,319.5618867,714.5621017,0.198566489,0.444008168,1048.43142,2344.363926,7.90E+11,10.80884396,38911.83825,24178.30305,0.392784784,152.7932739,58759768,36511628,1,0.272213,4.724,2458000.5,0.563441073,1.32353218,17.92775064,178.9719508,556.1605558,0.577799788,198.1459692,2.069264572,2458009.403,354.2373683,0.647295095,1,1,0
19.6,0.319561887,0.714562102,319.5618867,714.5621017,0.198566489,0.444008168,1048.43142,2344.363926,7.90E+11,10.80884159,38911.82972,24178.29775,0.392783196,152.7926636,58759532,36511480,1,0.272213,4.724,2458000.5,0.56344111,1.323532162,17.92774838,178.9719526,556.1605445,0.577799731,198.1459599,2.069264593,2458009.403,354.2373962,0.647295109,1,1,0
19.2,0.384197891,0.859092601,384.1978911,859.0926012,0.238729428,0.533815229,1260.491809,2818.54537,7.91E+11,24.42188399,87918.78238,54629.31231,0.129179161,50.25069427,19324928,12007954,0,0.0987582,4.921,2458000.5,0.449762796,1.237474536,34.69512745,112.5629844,502.8087579,0.680904529,288.3746511,1.794044544,2458242.439,186.7769323,0.715977982,1,1,0
17.8,0.732073989,1.636967205,732.0739893,1636.967205,0.454889547,1.017163949,2401.817627,5370.627484,7.91E+11,17.37378384,62545.62181,38863.41707,0.358282927,139.3720551,53598364,33304478,0,0.109354,5.386,2458000.5,0.23817901,1.145550849,22.21521029,80.21113209,447.8370128,0.872704682,353.4223941,1.418397017,2458221.636,182.2364315,0.803863883,1,1,0
22.4,0.088014652,0.196806745,88.01465209,196.8067451,0.054689752,0.122290004,288.7619912,645.6914416,7.91E+11,22.42136631,80716.91873,50154.35431,0.201039988,78.2045517,30075154,18687834,6,0.000317965,7.033,2458000.5,0.475819477,0.813876725,23.18568668,117.111224,268.186165,0.426618327,220.9403708,1.201135123,2457996.36,5.556806413,1.342351124,1,1,0
25.8,0.018388867,0.041118757,18.38886721,41.1187571,0.011426309,0.025550003,60.33093109,134.9040631,7.91E+11,17.27461146,62188.60127,38641.57838,0.431015587,167.6650543,64479012,40065400,4,0.00186378,5.122,2458000.5,0.204840678,1.240789318,13.74423321,161.9335186,504.8303955,0.986625193,13.92021256,1.494953443,2457935.033,46.68495945,0.713110786,1,1,0
25,0.02658,0.059434687,26.58,59.43468684,0.016516041,0.036930991,87.2047272,194.995698,7.91E+11,12.11850995,43626.63583,27107.89491,0.359801412,139.9627533,53825524,33445630,6,0.0187898,6.384,2458000.5,0.326860712,0.930233744,8.333753552,20.49127087,327.7076361,0.62617688,128.4631299,1.234290608,2457939.713,66.77697674,1.098540163,1,1,0
19.1,0.40230458,0.899580388,402.3045798,899.5803882,0.249980399,0.558973165,1319.896958,2951.379321,7.92E+11,10.82992629,38987.73464,24225.46212,0.430655991,167.525177,64425220,40031976,0,0.214004,4.862,2458000.5,0.149357963,1.322923788,21.26523155,122.4368332,555.777122,1.125334586,297.7298537,1.52051299,2457976.985,15.23187455,0.647741668,1,1,0
