V1,V2,V3,V4,V7,V9,V11,V12,Class
1.62,3537,0.14,0,4324,2,1.62,0,class2
4.69,3086,0.57,2,3215,0,2.02,2,class2
5.49,3082,0.45,0,3910,1,1.2,1,class2
3.22,3536,0.14,1,5625,2,1.29,0,class4
5.72,3520,0.14,0,4621,0,1.48,2,class4
2.19,3186,0.54,2,4585,0,1.69,1,class4
2.22,3136,0.42,1,4511,1,1.24,0,class5
1.84,3069,0.21,2,7034,2,0.55,1,class4
2.87,3463,0.52,0,6982,0,1.8,2,class3
6.54,3466,0.13,0,3371,2,1.36,2,class4
6.98,3109,0.4,0,7225,2,0.58,1,class5
3.91,3498,0.46,0,7301,0,1.15,0,class5
1.42,3071,0.66,2,4569,0,1.62,1,class4
7.23,3489,0.39,2,3534,1,0.91,1,class5
1.73,3488,0.35,2,3239,1,1.99,0,class4
5.79,3070,0.53,0,7339,1,0.99,2,class5
2.13,3110,0.13,1,6752,0,2.04,1,class5
1.85,3448,0.61,2,4810,0,0.8,1,class4
3.21,3516,0.14,1,6797,1,1.56,1,class5
1.41,3469,0.13,1,6233,1,1.31,1,class5
5.45,3450,0.52,2,4610,0,1.57,1,class1
1.49,3576,0.53,0,7079,1,1.58,1,class5
1.47,3481,0.18,1,4560,1,1.78,0,class5
5.64,3133,0.13,2,7296,2,1.37,1,class3
5.5,3097,0.14,1,3784,1,1.44,1,class5
6.62,3514,0.19,0,3869,1,1.26,1,class5
2.15,3072,0.46,2,5912,2,1.08,0,class4
1.94,3111,0.38,2,6758,1,1.76,2,class5
2.12,3187,0.14,2,3360,2,1.42,1,class4
1.53,3512,0.26,0,7173,0,0.56,0,class2
3.11,3438,0.29,0,3878,2,1.21,0,class3
1.6,3092,0.14,1,6555,0,1.09,0,class5
5.5,3151,0.55,2,6371,0,1.87,2,class1
7.25,3088,0.43,0,3397,1,0.99,2,class5
5.81,3069,0.14,1,7299,2,1.36,1,class4
6.77,3078,0.42,0,6790,1,1.22,1,class5
1.5,3469,0.61,0,4521,0,1.24,1,class5
4.17,3475,0.13,1,7243,2,1.43,0,class3
1.77,3386,0.39,0,3154,2,1.87,1,class2
2.24,3479,0.14,2,4082,1,0.88,1,class4
4.15,3075,0.46,0,6968,0,0.69,0,class2
3.88,3117,0.43,2,3685,0,0.56,0,class4
5.36,3483,0.35,2,4642,2,0.56,2,class2
4.23,3580,0.14,1,5430,0,1.47,1,class3
8.09,3602,0.42,1,4505,2,1.98,2,class2
1.48,3071,0.35,1,7211,0,1.77,2,class5
2.01,3069,0.38,0,7250,1,1.75,0,class5
4.81,3326,0.14,0,4775,1,1.01,0,class5
1.51,3071,0.49,2,3919,0,0.56,1,class2
6.95,3109,0.13,1,3171,0,1.89,2,class5
8.04,3593,0.14,1,3388,2,0.56,1,class2
5.6,3086,0.14,0,6963,1,0.61,1,class3
1.57,3604,0.17,0,3212,1,1.85,1,class5
2.07,3110,0.13,1,5174,1,0.64,1,class3
2.04,3152,0.22,2,6723,2,1.17,0,class1
5.29,3230,0.62,2,4119,0,1.63,1,class1
4.55,3072,0.52,1,5881,1,1.94,1,class5
6.58,3147,0.13,2,3744,0,0.56,1,class5
1.56,3075,0.13,1,6756,0,1.22,1,class3
3.69,3477,0.56,2,4559,2,1.44,0,class3
6.55,3075,0.14,0,4575,1,1.25,2,class2
7.89,3103,0.5,0,7190,1,1.49,1,class5
2.22,3122,0.47,0,3363,2,1.54,1,class5
8.07,3466,0.61,2,7162,2,0.56,1,class5
1.64,3124,0.37,1,4588,1,1.8,1,class2
1.67,3549,0.53,1,3477,0,0.56,0,class5
4.56,3150,0.53,0,4487,1,1.49,2,class1
