V1_1,V1_2,V1_3,V2_1,V2_2,V2_3,V3_1,V3_2,V3_3,V4_1,V4_2,V4_3,V5_1,V5_2,V5_3,V6_1,V6_2,V6_3,Class
0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,2
0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,2
1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,2
0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,2
0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,2
1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,2
0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,2
0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,2
0,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,2
0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,2
0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,2
0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,2
0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,2
0,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,2
0,1,0,0,1,0,1,0,0,0,0,1,1,0,0,0,1,0,2
0,1,0,0,1,0,1,0,0,0,0,1,1,0,0,0,1,0,2
0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,2
0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1,0,2
0,1,0,0,1,0,0,0,1,1,0,0,0,0,1,0,1,0,2
1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,2
1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,2
1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,2
1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,2
1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,2
1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,2
0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,2
0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,2
0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,2
0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,2
0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,2
0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,2
0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,2
0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,2
0,1,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,2
0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,1,0,2
0,0,1,0,1,0,0,0,1,0,0,1,1,0,0,0,1,0,2
0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,0,2
1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,2
1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,2
1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,2
1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,2
0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,2
1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,1,0,2
1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,1,0,2
0,1,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,2
0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,2
0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,2
1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,2
1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,2
1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,2
0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,1,0,2
1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,2
1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,2
1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,2
1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,2
1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,2
1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,2
1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,2
0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,1,0,0,2
0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,1,0,0,2
1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,2
1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,2
0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,2
1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,2
0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,2
1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,2
0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,2
0,0,1,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,2
0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,1,0,2
0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,2
0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,2
0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,2
0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,2
0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,1,0,2
1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,2
0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,2
1,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1,2
1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,2
0,0,1,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0,2
1,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1,2
0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,2
1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,2
1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,2
0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,2
1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,2
1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,2
0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,1,0,0,2
0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,2
0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,1,0,0,2
1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,2
1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,2
0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,2
1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,2
1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,2
0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,2
0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,1,0,2
0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,2
0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,2
0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,2
0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,2
0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,1,0,2
1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,2
0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,2
1,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1,2
0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,2
1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,2
1,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1,2
