V1,V4,V5,V8,V10,V11,V12,Class
63,10,60,12,11,3,1,3
44,3,19,8,14,1,1,1
60,5,27,19,6,4,1,3
55,11,39,25,10,2,1,2
66,33,22,53,5,3,1,1
66,34,6,59,15,2,1,1
65,15,45,28,14,1,1,4
60,27,6,19,6,3,1,1
60,34,6,20,9,2,1,4
60,22,63,31,2,3,1,2
56,40,13,19,14,1,1,1
59,10,6,45,4,3,1,2
62,33,6,59,2,3,1,2
63,1,6,1,1,1,1,2
57,2,6,24,4,3,1,2
62,34,29,44,14,1,1,1
63,24,79,43,10,4,1,5
46,33,45,6,9,3,1,2
63,40,6,59,6,4,1,1
60,17,6,56,14,1,1,1
58,12,6,5,4,2,1,3
64,34,6,40,9,3,1,2
63,3,6,57,14,1,1,4
74,1,6,1,1,1,1,1
52,2,6,38,11,2,1,3
69,3,6,10,4,3,1,3
51,1,6,1,1,1,1,3
60,3,4,19,2,3,1,2
56,34,18,59,6,3,2,2
55,1,39,1,1,1,1,4
54,1,6,1,1,1,1,4
77,38,46,55,9,2,1,4
63,22,40,28,4,3,1,4
55,4,6,30,6,3,1,4
52,37,6,55,9,4,1,3
64,13,6,2,4,3,1,4
60,1,73,1,1,1,1,3
60,34,6,15,9,2,1,1
58,1,14,1,1,1,1,2
59,18,6,13,6,1,2,1
61,34,6,42,14,3,1,4
40,39,6,37,14,1,1,2
61,1,6,44,6,3,1,4
41,31,6,57,14,1,1,1
57,1,72,1,1,1,1,5
63,8,6,43,14,1,1,3
59,37,43,45,5,4,1,2
51,2,6,52,14,1,1,1
59,1,6,9,9,4,1,3
42,6,48,33,14,1,1,1
55,34,6,6,10,3,1,2
63,1,6,1,1,1,1,1
62,17,54,50,7,2,1,3
56,38,34,35,9,3,1,1
53,40,6,40,14,1,1,2
68,9,6,11,11,3,1,3
53,18,6,19,6,3,1,3
60,1,94,1,1,1,1,4
62,1,6,1,1,1,1,1
59,26,6,59,14,1,1,2
51,1,27,1,1,1,1,1
61,33,6,54,9,4,1,3
57,3,92,24,9,3,1,2
56,24,6,3,10,1,1,5
58,40,6,55,9,3,1,3
69,10,6,56,10,4,1,3
67,11,64,6,10,2,1,4
58,34,6,40,6,4,1,2
65,1,6,1,1,1,1,2
63,1,26,1,1,1,1,2
55,33,23,38,1,1,1,1
57,10,23,21,9,3,1,3
65,1,55,1,1,1,1,1
54,8,29,19,11,3,1,4
72,34,23,16,4,3,1,4
75,24,14,54,14,1,1,2
49,3,6,22,11,3,1,3
51,1,97,1,1,1,1,4
60,11,25,55,10,3,1,3
64,11,71,19,4,3,1,2
58,5,24,39,4,4,1,1
61,14,49,24,11,4,1,3
67,22,100,11,14,3,1,3
62,7,83,11,4,3,1,3
65,8,53,19,13,4,1,5
63,3,88,18,9,3,1,3
69,10,17,19,9,1,1,4
51,1,38,1,1,1,1,1
62,21,20,12,11,4,1,2
55,1,52,1,1,1,1,2
75,8,36,12,11,3,1,4
40,32,48,42,14,1,1,1
67,34,6,26,6,4,1,4
58,33,10,55,14,1,1,2
60,1,8,1,1,1,1,1
63,22,63,46,9,1,1,4
35,1,78,1,1,1,1,1
62,35,59,26,1,1,1,2
43,37,6,59,2,2,1,2
63,3,6,33,11,3,1,1
68,15,8,14,14,1,1,2
65,15,44,59,6,3,1,4
48,28,6,55,4,4,1,2
63,30,86,60,4,2,1,2
64,3,33,9,2,3,1,1
61,34,74,17,13,4,1,4
50,13,98,59,4,2,1,2
59,38,1,45,4,3,1,2
55,15,66,26,14,1,1,1
45,1,45,1,1,1,1,1
65,1,93,1,1,1,1,4
61,1,75,1,1,1,1,1
49,1,42,1,1,1,1,4
72,1,21,1,1,1,1,2
50,1,27,1,1,1,1,2
64,1,87,1,1,1,1,4
55,12,4,16,14,1,1,3
63,33,55,19,9,3,1,3
59,39,32,17,10,4,1,4
56,1,6,1,1,1,1,2
62,1,6,1,1,1,1,3
74,15,59,11,13,4,1,4
54,3,12,12,9,3,1,2
57,33,9,4,14,1,1,1
62,1,15,1,1,1,1,2
76,31,1,59,12,4,1,5
54,9,70,28,6,3,1,2
70,24,5,10,11,4,1,3
61,10,84,59,14,1,1,1
48,1,67,1,1,1,1,1
48,5,29,36,14,1,1,2
61,11,11,4,6,4,1,4
66,35,61,19,6,2,1,2
68,1,90,1,1,1,1,1
55,25,60,41,9,1,1,4
62,34,29,44,14,1,1,1
71,1,31,1,1,1,1,4
74,1,25,1,1,1,1,4
53,19,68,33,1,1,1,1
58,15,28,56,14,1,1,3
75,22,89,12,9,4,1,1
56,1,17,1,1,1,1,5
58,1,41,1,1,1,1,3
64,6,69,16,13,4,1,5
54,1,14,1,1,1,1,1
54,1,2,1,1,1,1,1
59,10,70,29,9,3,1,1
55,1,15,1,1,1,1,2
57,13,64,33,9,3,1,4
61,1,82,1,1,1,1,4
41,15,46,9,6,3,1,1
71,3,31,34,14,1,1,4
38,33,81,28,6,4,1,2
55,21,26,55,10,3,1,2
56,2,33,58,9,4,1,3
69,1,1,1,1,1,1,3
64,15,7,17,2,3,1,3
72,22,1,11,6,1,1,3
69,1,20,1,1,1,1,3
56,1,74,1,1,1,1,2
62,1,35,59,11,1,1,5
67,1,99,1,1,1,1,4
57,20,57,58,11,4,1,4
69,1,81,1,1,1,1,4
51,1,1,1,1,1,1,2
48,10,1,32,6,2,1,4
69,37,25,43,14,1,1,3
69,1,65,1,1,1,1,1
64,1,51,1,1,1,1,3
57,27,77,59,3,1,1,2
53,38,50,2,9,3,1,2
37,23,48,37,4,3,1,1
67,10,28,2,9,3,1,4
74,10,47,48,14,1,1,2
63,1,91,1,1,1,1,1
58,16,22,55,14,1,1,1
61,29,80,26,9,4,1,5
64,3,59,11,14,1,1,3
58,22,58,23,4,2,1,4
60,3,4,19,2,3,1,2
57,37,62,4,14,1,1,2
55,1,1,1,1,1,1,1
55,34,37,8,8,4,1,2
56,3,14,51,6,3,1,2
57,3,16,49,4,3,1,1
61,1,76,1,1,1,1,2
61,34,96,51,14,1,1,4
58,15,28,56,14,1,1,3
74,19,89,12,6,4,1,3
68,6,56,27,14,1,1,1
51,36,59,49,4,2,1,1
62,22,56,54,11,3,1,5
53,13,85,9,6,3,1,4
