latitude,longitude,labels,age_first_funding_year,age_last_funding_year,age_first_milestone_year,age_last_milestone_year,relationships,funding_rounds,funding_total_usd,milestones,is_CA,is_NY,is_MA,is_TX,is_otherstate,is_software,is_web,is_mobile,is_enterprise,is_advertising,is_gamesvideo,is_ecommerce,is_biotech,is_consulting,is_othercategory,has_VC,has_angel,has_roundA,has_roundB,has_roundC,has_roundD,avg_participants,is_top500,status
42.35888,-71.05682,1,2.2493,3.0027,4.6685,6.7041,3,3,375000,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,acquired
37.238916,-121.973718,1,5.126,9.9973,7.0055,7.0055,9,4,40100000,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,4.75,1,acquired
32.901049,-117.192656,1,1.0329,1.0329,1.4575,2.2055,5,1,2600000,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,1,acquired
37.320309,-122.05004,1,3.1315,5.3151,6.0027,6.0027,5,3,40000000,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3.3333,1,acquired
37.779281,-122.419236,0,0,1.6685,0.0384,0.0384,2,2,1300000,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,1,closed
37.406914,-122.09037,0,4.5452,4.5452,5.0027,5.0027,3,1,7500000,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,3,1,closed
37.3915589,-122.0702643,1,1.7205,5.211,3,6.6082,6,3,26000000,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1.6667,1,acquired
38.057107,-122.513742,1,1.6466,6.7616,5.6055,7.3616,25,3,34100000,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,3.5,1,acquired
42.712207,-73.203599,1,3.5863,11.1123,8.0055,9.9945,13,3,9650000,4,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,4,1,acquired
37.427235,-122.145783,1,1.6712,4.6849,2.9178,6.1151,14,3,5750000,4,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,acquired
37.4429885,-122.1624131,1,4.6274,9.4493,10.1342,10.6493,22,3,27500000,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,acquired
37.452992,-122.185098,0,1.0849,5.337,-0.6164,4.6082,8,5,10400000,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1.75,1,closed
38.241467,-85.724511,0,4.9041,4.9041,,,0,1,350000,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,closed
40.70276,-73.986668,1,0.0192,2.4356,0.7945,4.3781,15,3,9950000,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,2.3333,1,acquired
39.7462728,-104.9911572,1,4.6658,8.9973,8.8384,8.8384,12,5,10700000,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2.5,1,acquired
38.901301,-77.265158,0,6.6082,6.6082,,,0,1,200000,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,closed
37.3962827,-122.105531,0,2.5863,6.7644,5.5014,5.5014,8,5,49000000,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,3.5,1,closed
37.590339,-122.341715,1,4.5918,7.1726,-0.4986,12.6795,7,4,25000000,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,3.5,1,acquired
40.730646,-73.986614,1,0.7425,1.5808,1.2849,3.0027,10,3,4575000,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,5,1,acquired
37.446411,-122.16054,0,2.5014,2.8301,3.0877,3.4932,13,2,28000000,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,1,closed
30.2350399,-97.8001299,1,2.2137,3.7863,4.0877,9.4986,8,2,4355000,3,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1.5,0,acquired
47.6026054,-122.2848651,0,3.8329,3.8329,3.7507,3.7507,3,1,15000000,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,1,closed
37.426316,-122.141082,0,5.4904,5.4904,0,0,1,1,3170000,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,closed
37.764395,-122.401024,0,-1,3.3151,3.6959,5.663,4,2,2300000,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,2,0,closed
40.010492,-105.276843,0,0.2521,0.337,,,5,2,455000,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,4.5,1,closed
41.875555,-87.624421,1,4.8411,4.8411,1,1,3,1,13000000,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,1,acquired
37.429676,-122.1085482,1,4.0603,4.0603,3.0027,3.0027,7,1,15000000,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,4,1,acquired
37.870102,-122.268136,1,4.0685,4.0685,3.4192,5.2301,2,1,3800000,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,1,acquired
30.2653441,-97.7435857,1,2.5068,4.5315,4.9315,5.6767,37,5,299500000,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1.75,1,acquired
33.708708,-117.852069,1,1.189,1.189,2.189,7.7753,5,1,1000000,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,1,acquired
37.422859,-122.045217,0,1.3534,2.1644,4.5178,4.5178,3,2,10500000,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,2,1,closed
47.603832,-122.330062,1,4.1534,5.1671,3,3,6,2,8600000,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1.5,1,acquired
36.002893,-78.904075,0,-0.1671,2.0192,,,9,2,5000000,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2.5,1,closed
37.779281,-122.419236,1,0,0.8685,0.4137,2.1671,3,2,2304999,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,5,1,acquired
40.441694,-79.990086,0,0.0822,0.0822,,,2,1,25000,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,closed
40.73901,-73.997259,0,2.6575,2.6575,0,0,1,1,4000000,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,closed
37.791137,-122.391843,0,0.6192,1.5945,1,4.3315,8,2,14600000,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,1,closed
37.404788,-121.940842,0,1.063,5.7014,,,0,3,44000000,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,4.5,1,closed
37.7795014,-122.3948712,1,0.1671,2.6493,0.6082,4.7507,10,3,1822922,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,2.3333,1,acquired
40.755446,-73.980246,1,0,5.9041,3.8411,7.137,18,7,29915001,5,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0,2.75,1,acquired
33.756806,-84.392198,1,0,4.8027,3.7205,7.6164,26,4,33000000,5,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,3,1,acquired
42.99564,-71.454789,1,0,0.5836,0.5836,0.5945,9,2,125000,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,acquired
40.0157332,-105.275027,0,0.1041,2.3863,2.3315,2.7918,7,2,4000000,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,closed
47.63609,-122.327028,1,3.4904,3.4904,5.6603,8.3425,10,1,10000000,3,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,1,acquired
37.4049731,-122.0323525,1,4.6658,4.6658,8.7425,10.2247,25,1,6000000,4,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,3,1,acquired
37.36883,-122.03635,1,2.6247,2.6247,,,4,1,25000000,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,1,acquired
40.730646,-73.986614,1,0.926,2.9534,0.8329,2.7425,2,3,3750000,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,2,1,acquired
42.3751,-71.105616,1,0.2466,0.2466,1.1178,1.663,9,1,3000000,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,acquired
37.779281,-122.419236,1,0.189,1.189,1.3562,1.6575,6,2,1155000,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,9.5,1,acquired
37.560781,-122.284114,1,3.2082,3.2082,5.2548,7.8822,11,1,10000000,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,acquired
37.658313,-122.391032,1,2.5836,2.5836,2,2,5,1,3000000,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,acquired
42.360253,-71.058291,1,1.8932,2.4466,2,3.2767,4,2,11500000,3,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,acquired
30.321464,-97.75501,1,0.7479,0.7479,4.0493,8.3233,12,1,5000000,5,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,1,acquired
42.37564,-71.2358,1,5.1863,6.8137,7.3342,7.3342,9,2,29000000,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,5,1,acquired
37.7870842,-122.4038047,1,0.6712,6.2329,4.0493,7.5973,37,6,34700000,4,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,5,1,acquired
37.441537,-122.158332,0,1.1863,3.4986,,,0,2,12050000,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2,1,closed
37.445586,-122.161929,1,2.1644,4.7616,4.0027,6.7534,13,3,12000000,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,2,1,acquired
33.5842816,-117.7306817,1,4.1041,4.1041,1.9151,1.9151,18,1,5500000,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2,1,acquired
37.402773,-122.052551,1,1.989,4.1534,2.8986,5.2575,10,3,24000000,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,3.3333,1,acquired
