Age,No_of_orders_placed,is_premium_member,Women’s_Clothing,Men’s_Clothing,Kid’s_Clothing,Home_&_Living,Beauty,Electronics,Gender_Female,Gender_Male,Gender_Not_Specified,Preferred_Theme
22.0,4.0,0,2.945700985,8.924431447,2.0,2.325376235,1.924891256,9.820254459,0,1,0,New_UI
,9.0,0,6.115228853,2.363926302,6.968751527,7.355853664,8.561460947,2.162228967,1,0,0,Old_UI
26.0,,0,1.0,3.0,1.766530357,3.471802034,0.8081475,9.055563169,0,1,0,New_UI
,7.0,0,2.116475038,9.064060373,5.387599354,,0.459089575,7.343460937,0,1,0,New_UI
29.0,,0,7.352877746,1.995744452,2.676853444,7.159554421,8.184694756,2.0,1,0,0,Old_UI
28.0,15.0,1,3.413307655,3.639450411,7.809194134,1.315750739,5.043576751,3.412935427,0,0,1,Old_UI
16.0,14.0,1,3.661765257,4.57871268,8.769435707,5.399276663,4.363722035,3.881251339,0,0,1,Old_UI
24.0,5.0,0,3.767386352,4.0,0.906187168,3.032793152,2.124064891,-77.0,0,1,0,New_UI
25.0,,0,8.545119258,3.0,5.903997845,7.487764833,8.351918328,2.453450133,1,0,0,New_UI
43.0,,1,6.580176483,5.25776647,8.153327444,9.183203213,8.975468841,0.863201454,1,0,0,Old_UI
31.0,15.0,1,1.496653164,3.486034312,1.315876145,0.203283019,3.474346158,7.376128085,0,0,1,New_UI
24.0,8.0,0,7.169039858,4.587493209,7.963994229,,0.0,1.818597031,1,0,0,Old_UI
23.0,15.0,1,2.210481648,4.462279242,7.523793089,3.679550797,2.858113437,3.311106452,0,0,1,Old_UI
33.0,5.0,0,6.217282114,0.580546545,,7.559558812,9.767445581,1.91908284,1,0,0,Old_UI
34.0,7.0,0,-66.0,3.398479987,9.163487328,4.936264481,8.262180064,3.640513865,1,0,0,Old_UI
48.0,14.0,1,7.535332278,3.507330242,8.707703234,8.90829143,1.0,0.395261232,1,0,0,Old_UI
45.0,,1,3.428934658,3.523077036,9.031074128,7.730568353,2.0,1.027108744,1,0,0,New_UI
25.0,8.0,0,3.611348391,0.0,0.146174552,2.320759445,0.484594055,2.0,0,1,0,New_UI
23.0,10.0,0,4.40179499,8.47169915,0.075450757,0.332615335,12.86590594,9.235032737,0,1,0,New_UI
46.0,3.0,1,1.0,4.719079106,4.750394549,,2.836200673,8.248529778,0,1,0,New_UI
17.0,8.0,0,5.791428384,2.93351174,6.116594554,5.611440109,8.645551853,0.354038243,1,0,0,New_UI
26.0,7.0,1,2.0,5.793381609,3.0,4.294820846,0.343667741,7.195261864,0,1,0,New_UI
22.0,8.0,0,1.192958009,9.564783313,3.43843964,4.603910412,-10.09817607,9.882164594,0,1,0,New_UI
33.0,10.0,0,8.705895467,3.218495922,8.497212071,8.167964637,8.854439829,2.600845217,1,0,0,Old_UI
22.0,3.0,0,9.618878959,3.0,5.454807745,7.597420585,8.079407311,1.607705844,1,0,0,New_UI
34.0,,0,1.0,6.590286699,3.64555452,3.231637177,2.0,7.949033723,0,1,0,Old_UI
45.0,8.0,0,0.36509218,7.925452353,7.659057634,5.135294128,1.0,7.920696052,0,1,0,Old_UI
45.0,4.0,0,0.339279481,6.073482894,5.61903358,1.542206393,0.676707311,-55.0,0,1,0,New_UI
29.0,0.0,1,-55.0,3.172257506,0.344519169,9.779362763,4.0,4.0,1,0,0,New_UI
34.0,9.0,0,9.52969449,1.123778436,3.0,7.727118225,7.882957199,2.798948453,1,0,0,Old_UI
37.0,9.0,0,9.837687481,0.780475946,7.995735267,6.451544228,9.698376803,5.455363916,1,0,0,Old_UI
35.0,13.0,1,3.0,8.491794353,7.000413087,4.510557119,1.881583533,7.137331253,0,1,0,Old_UI
21.0,10.0,0,0.725395442,9.383627217,1.547685522,3.761151583,2.437840535,8.013847256,0,1,0,New_UI
23.0,3.0,0,7.175009503,0.916721293,5.659465223,6.452793851,5.0,0.905505286,1,0,0,New_UI
31.0,13.0,1,4.178067853,0.351398302,9.061857309,2.0,7.841121182,0.448068536,1,0,0,New_UI
41.0,12.0,1,0.710379759,5.176442393,5.823005596,2.622928141,2.0,7.103237206,0,1,0,Old_UI
21.0,11.0,1,2.839830119,3.820900938,4.974006955,5.99025395,5.033538187,3.927116902,0,0,1,New_UI
21.0,12.0,1,3.018075351,3.204126006,,4.849439687,0.612809112,6.136491779,0,0,1,New_UI
24.0,4.0,0,1.0,9.477720255,2.117003355,2.920907123,3.00987832,0.0,0,1,0,New_UI
27.0,15.0,1,2.044606373,5.805778715,5.91024702,0.027951084,6.661914108,5.467043044,0,0,1,Old_UI
35.0,6.0,0,2.0,9.165003477,,4.947114191,2.0,4.982696153,0,1,0,Old_UI
